index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,GSM
GSE39462_group20,SO_1209,SO_1101,SO_3471,SO_1065,SO_1060,SO_1044,SO_3503,SO_0223,SO_0225,SO_3505,SO_3506,SO_3507,SO_3509,SO_3510,SO_3514,SO_3537,SO_3542,SO_4480,SO_0970,SO_3546,GSM969638
GSE39462_group21,SO_2855,SO_4313,SO_4303,SO_2725,SO_1524,SO_2045,SO_4286,SO_1204,SO_3241,SO_3242,SO_3243,SO_0874,SO_2856,SO_3245,SO_1207,SO_3247,SO_1203,SO_4317,SO_4318,SO_4319,GSM969638
GSE39462_group22,SO_4758,SO_2540,SO_2500,SO_2491,SO_2490,SO_2489,SO_2488,SO_2487,SO_2486,SO_2477,SO_2476,SO_2436,SO_2435,SO_2433,SO_2427,SO_2422,SO_2417,SO_2416,SO_2415,SO_2411,GSM969638
GSE39462_group23,SO_2491,SO_4157,SO_4155,SO_0612,SO_0610,SO_0609,SO_0608,SO_0603,SO_0595,SO_4133,SO_4126,SO_0581,SO_2486,SO_2487,SO_2488,SO_2489,SO_4120,SO_4106,SO_0547,SO_2578,GSM969638
GSE39462_group24,SO_0423,SO_2067,SO_4034,SO_0617,SO_2046,SO_2045,SO_1258,SO_2044,SO_1051,SO_4054,SO_4056,SO_3343,SO_0624,SO_0301.1,SO_0625,SO_2439.2,SO_1267,SO_0298,SO_0297,SO_4098,GSM969638
GSE39462_group25,SO_0298,SO_0809,SO_1755,SO_3532,SO_3537,SO_0521,SO_3545,SO_3546,SO_3547,SO_0291,SO_0520,SO_3548,SO_3560,SO_0286,SO_1690,SO_0522,SO_2787,SO_0818,SO_1683,SO_0279,GSM969638
GSE39462_group26,SO_0547,SO_2477,SO_0703,SO_0704,SO_2433,SO_2416,SO_0298,SO_2415,SO_2411,SO_2404,SO_2403,SO_3764,SO_3765,SO_0291,SO_3772,SO_2402,SO_2396,SO_0286,SO_3787,SO_3800,GSM969638
GSE39462_group27,SO_4758,SO_2439.2,SO_2436,SO_2435,SO_2433,SO_2427,SO_2426,SO_2416,SO_2415,SO_2411,SO_2410,SO_2404,SO_2403,SO_2402,SO_2396,SO_2366,SO_2364,SO_2363,SO_2362,SO_2361,GSM969638
GSE39462_group28,SO_4758,SO_2476,SO_2474,SO_2439.2,SO_2435,SO_2433,SO_2427,SO_2424,SO_2423,SO_0576,SO_2422,SO_2415,SO_2411,SO_2407,SO_2404,SO_2403,SO_2398,SO_2396,SO_0603,SO_2416,GSM969638
GSE39462_group29,SO_0536,SO_2071,SO_0624,SO_0625,SO_2070,SO_2069,SO_2068,SO_2067,SO_3837,SO_2072,SO_2046,SO_2042,SO_3842,SO_2017,SO_2016,SO_2010,SO_2007,SO_1995,SO_3848,SO_2045,GSM969638
GSE39462_group30,SO_4246,SO_4015,SO_2279,SO_2278,SO_1112,SO_1111,SO_3505,SO_4034,SO_4450,SO_1101,SO_3503,SO_3024,SO_3263,SO_1095,SO_3497,SO_3496,SO_2829,SO_2813,SO_3506,SO_2290,GSM969638
GSE39462_group31,SO_3099,SO_1044,SO_3514,SO_0466,SO_3510,SO_3509,SO_3507,SO_2072,SO_1042,SO_3505,SO_2073,SO_3503,SO_3497,SO_2074,SO_3496,SO_3506,SO_2087,SO_3537,SO_3542,SO_2067,GSM969638
