index,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,gene_11,gene_12,gene_13,gene_14,gene_15,gene_16,gene_17,gene_18,gene_19,gene_20,CONCEPTS
GSE39462_group17,SO_4313,SO_0269,SO_0268,SO_0267,SO_0266,SO_0265,SO_1490,SO_0263,SO_0262,SO_1489,SO_0261,SO_0259,SO_1493,SO_1494,SO_0257,SO_3047,SO_1063,SO_1519,SO_1520,SO_0260,"['GO_0032501', 'GO_0009266', 'GO_0008064', 'GO_0042592', 'GO_0044848', 'GO_0023051', 'GO_0051592', 'GO_0055114', 'GO_0046903', 'GO_0040007']"
GSE39462_group18,SO_1161,SO_2263,SO_1242,SO_0752,SO_0753,SO_3651,SO_3652,SO_3656,SO_1221,SO_2181,SO_3740,SO_3743,SO_0767,SO_0770,SO_3765,SO_3772,SO_0781,SO_1101,SO_3599,SO_0324,"['GO_0040007', 'GO_0040008', 'GO_0090627', 'GO_0048588', 'GO_0032502', 'GO_0032504', 'GO_0040009', 'GO_0040011', 'GO_0032501', 'GO_0001558']"
GSE39462_group19,SO_3514,SO_0259,SO_0263,SO_2069,SO_0779,SO_2070,SO_3972,SO_2071,SO_2072,SO_0279,SO_2073,SO_2361,SO_0770,SO_2918,SO_0767,SO_2929,SO_2916,SO_0755,SO_0753,SO_0748,"['GO_0044848', 'GO_0042305', 'GO_0043763', 'GO_0006511', 'GO_0008914', 'GO_0031904', 'GO_0015935', 'GO_0016531', 'GO_0015671', 'GO_0055085']"
GSE39462_group20,SO_1209,SO_1101,SO_3471,SO_1065,SO_1060,SO_1044,SO_3503,SO_0223,SO_0225,SO_3505,SO_3506,SO_3507,SO_3509,SO_3510,SO_3514,SO_3537,SO_3542,SO_4480,SO_0970,SO_3546,"['GO_0040007', 'GO_0043066', 'GO_0070887', 'GO_0034976', 'GO_0042221', 'GO_0016032', 'GO_0009294', 'GO_0050885', 'GO_0006954', 'GO_0016045']"
GSE39462_group21,SO_2855,SO_4313,SO_4303,SO_2725,SO_1524,SO_2045,SO_4286,SO_1204,SO_3241,SO_3242,SO_3243,SO_0874,SO_2856,SO_3245,SO_1207,SO_3247,SO_1203,SO_4317,SO_4318,SO_4319,"['GO_0040008', 'GO_0007005', 'GO_0043170', 'GO_0071702', 'GO_0045901', 'GO_0015706', 'GO_0045786', 'GO_0001307', 'GO_0006997', 'GO_0042800']"
GSE39462_group22,SO_4758,SO_2540,SO_2500,SO_2491,SO_2490,SO_2489,SO_2488,SO_2487,SO_2486,SO_2477,SO_2476,SO_2436,SO_2435,SO_2433,SO_2427,SO_2422,SO_2417,SO_2416,SO_2415,SO_2411,"['GO_0043401', 'GO_0010040', 'GO_000092105', 'GO_0007155', 'GO_0070233', 'GO_0042742', 'GO_0010035', 'GO_0009269', 'GO_0043206', 'GO_1901700']"
GSE39462_group23,SO_2491,SO_4157,SO_4155,SO_0612,SO_0610,SO_0609,SO_0608,SO_0603,SO_0595,SO_4133,SO_4126,SO_0581,SO_2486,SO_2487,SO_2488,SO_2489,SO_4120,SO_4106,SO_0547,SO_2578,"['GO_0007005', 'GO_0009894', 'GO_0006355', 'GO_0006412', 'GO_0051252', 'GO_0042886', 'GO_0044241', 'GO_0006259', 'GO_0038901', 'GO_0006974']"
GSE39462_group24,SO_0423,SO_2067,SO_4034,SO_0617,SO_2046,SO_2045,SO_1258,SO_2044,SO_1051,SO_4054,SO_4056,SO_3343,SO_0624,SO_0301,SO_0625,SO_2439,SO_1267,SO_0298,SO_0297,SO_4098,"['GO_0040007', 'GO_0030435', 'GO_0008150', 'GO_0048856', 'GO_0048869', 'GO_0032501', 'GO_0048864', 'GO_0009791', 'GO_0048589', 'GO_0048583']"
GSE39462_group25,SO_0298,SO_0809,SO_1755,SO_3532,SO_3537,SO_0521,SO_3545,SO_3546,SO_3547,SO_0291,SO_0520,SO_3548,SO_3560,SO_0286,SO_1690,SO_0522,SO_2787,SO_0818,SO_1683,SO_0279,"['GO_0042594', 'GO_0009267', 'GO_0010288', 'GO_0042221', 'GO_0072593', 'GO_0043266', 'GO_0065008', 'GO_0010941', 'GO_0006006', 'GO_0010604']"
GSE39462_group26,SO_0547,SO_2477,SO_0703,SO_0704,SO_2433,SO_2416,SO_0298,SO_2415,SO_2411,SO_2404,SO_2403,SO_3764,SO_3765,SO_0291,SO_3772,SO_2402,SO_2396,SO_0286,SO_3787,SO_3800,"['GO_0043281', 'GO_0044421', 'GO_0044419', 'GO_0044547', 'GO_0051354', 'GO_0051716', 'GO_0034968', 'GO_0008217', 'GO_0010474', 'GO_2001033']"
GSE39462_group27,SO_4758,SO_2439,SO_2436,SO_2435,SO_2433,SO_2427,SO_2426,SO_2416,SO_2415,SO_2411,SO_2410,SO_2404,SO_2403,SO_2402,SO_2396,SO_2366,SO_2364,SO_2363,SO_2362,SO_2361,"['GO_0030435', 'GO_0046651', 'GO_0008610', 'GO_0032544', 'GO_0051304', 'GO_0051120', 'GO_0007154', 'GO_0008202', 'GO_0071944', 'GO_0070887']"
GSE39462_group28,SO_4758,SO_2476,SO_2474,SO_2439,SO_2435,SO_2433,SO_2427,SO_2424,SO_2423,SO_0576,SO_2422,SO_2415,SO_2411,SO_2407,SO_2404,SO_2403,SO_2398,SO_2396,SO_0603,SO_2416,"['GO_0044281', 'GO_0008152', 'GO_0043066', 'GO_0006366', 'GO_0006351', 'GO_0006091', 'GO_0042593', 'GO_0045449', 'GO_0055117', 'GO_1901362']"
GSE39462_group29,SO_0536,SO_2071,SO_0624,SO_0625,SO_2070,SO_2069,SO_2068,SO_2067,SO_3837,SO_2072,SO_2046,SO_2042,SO_3842,SO_2017,SO_2016,SO_2010,SO_2007,SO_1995,SO_3848,SO_2045,"['GO_0009267', 'GO_0046224', 'GO_0016043', 'GO_0006265', 'GO_0040007', 'GO_0008152', 'GO_0005737', 'GO_0005618', 'GO_0040004', 'GO_0007165']"
GSE39462_group30,SO_4246,SO_4015,SO_2279,SO_2278,SO_1112,SO_1111,SO_3505,SO_4034,SO_4450,SO_1101,SO_3503,SO_3024,SO_3263,SO_1095,SO_3497,SO_3496,SO_2829,SO_2813,SO_3506,SO_2290,"['GO_0009266', 'GO_0009267', 'GO_0042149', 'GO_0042523', 'GO_0009637', 'GO_0016569', 'GO_0001708', 'GO_0001889', 'GO_0034340', 'GO_0009617']"
GSE39462_group31,SO_3099,SO_1044,SO_3514,SO_0466,SO_3510,SO_3509,SO_3507,SO_2072,SO_1042,SO_3505,SO_2073,SO_3503,SO_3497,SO_2074,SO_3496,SO_3506,SO_2087,SO_3537,SO_3542,SO_2067,"['GO_0043249', 'GO_0009260', 'GO_0016052', 'GO_0009264', 'GO_0055114', 'GO_0016570', 'GO_0006281', 'GO_0006886', 'GO_0006950', 'GO_0006355']"
GSE39462_group32,SO_1568,SO_3819,SO_2832,SO_3837,SO_0919,SO_2829,SO_2800,SO_3855,SO_2791,SO_0930,SO_0933,SO_2787,SO_2780,SO_2769,SO_2767,SO_3888,SO_2759,SO_2753,SO_2745,SO_3904,"['GO_0017004', 'GO_0042738', 'GO_0009716', 'GO_0050877', 'GO_0043130', 'GO_0006915', 'GO_0051301', 'GO_0007015', 'GO_0006412', 'GO_0044262']"
GSE39462_group33,SO_0449,SO_3237,SO_1825,SO_3247,SO_1824,SO_1816,SO_1800,SO_0360,SO_1796,SO_1795,SO_3286,SO_1794,SO_1793,SO_0703,SO_3313,SO_0704,SO_1787,SO_3343,SO_1755,SO_0344,"['GO_0040008', 'GO_0040007', 'GO_0045875', 'GO_0030718', 'GO_0044707', 'GO_0043207', 'GO_0050896', 'GO_0050897', 'GO_0007599', 'GO_0050876']"
GSE39462_group34,SO_0536,SO_3597,SO_0358,SO_3599,SO_0752,SO_0753,SO_2110,SO_2093,SO_0760,SO_3651,SO_3681,SO_0346,SO_3682,SO_0344,SO_0761,SO_0762,SO_3715,SO_2087,SO_2086,SO_2085,"['GO_0040007', 'GO_0009268', 'GO_0051301', 'GO_0010629', 'GO_0043066', 'GO_0016055', 'GO_0034314', 'GO_0055029', 'GO_0000792', 'GO_0000910']"
GSE39462_group35,SO_2800,SO_2403,SO_2404,SO_2427,SO_2439,SO_2486,SO_2487,SO_2488,SO_2489,SO_2490,SO_2491,SO_2499,SO_0466,SO_2507,SO_2375,SO_2578,SO_2585,SO_2587,SO_2593,SO_2601,"['GO_0040014', 'GO_0040008', 'GO_0009267', 'GO_0010467', 'GO_0072599', 'GO_0006542', 'GO_0009653', 'GO_0009791', 'GO_0010639', 'GO_0045184']"
GSE25821_group1,SO_3102,SO_3994,SO_2872,SO_4270,SO_3299,SO_0356,SO_4752,SO_3807,SO_2164,SO_2202,SO_2029,SO_1876,SO_1524,SO_2317,SO_2747,SO_2816,SO_0890,SO_1949,SO_2938,SO_0730,"['GO_0090090', 'GO_0048863', 'GO_0003723', 'GO_0005743', 'GO_0044420', 'GO_0042981', 'GO_0055114', 'GO_0005549', 'GO_0004575', 'GO_0004945']"
