,index,ACCESSION_STRING,GSM4233495,GSM4233496,GSM4233497,GSM4233498,GSM4233499,GSM4233500,GSM4233501,GSM4233502
5038,8563,SO_1841,11.34472939,11.50194605,11.95525262,11.84409278,11.0543076,11.77582891,11.47603422,11.94305279
5039,1199,SO_1841,10.81803294,11.44648569,11.29976257,11.42693632,10.84974723,10.75520063,10.77277856,11.29976257
5040,7117,SO_1841,8.578726812,8.491978677,8.69598977,8.692506839,8.564745266,8.768288016,8.823068918,9.079651678
5041,5843,SO_1842,8.511876514,8.124929501,8.164436028,7.365229618,7.243472375,7.636851793,7.550506992,7.117968616
5042,4803,SO_1842,10.055918,9.776587391,9.913964728,10.01606842,8.752067277,8.92397763,9.17062949,9.12484852
5043,3051,SO_1842,6.581672682,6.959640782,6.96000295,6.494357009,6.094079541,5.555550466,6.195373937,6.163022408
5044,9105,SO_1843,8.773448612,9.273577286,9.024187617,8.851554133,8.670767192,8.469514992,8.888838627,8.549664696
5045,2696,SO_1843,6.280192423,6.733440274,6.430976641,6.607793941,5.582144627,5.932216827,5.777257626,6.556986303
5046,2290,SO_1843,3.455338775,3.344308405,3.724523439,3.233633461,2.435571073,3.438803542,3.280783901,3.204585277
5047,15099,SO_1844,,,,,,,,
5048,8062,SO_1844,12.28438135,12.75289675,12.66627257,12.46230258,11.69324195,11.95341215,11.53777961,11.92679405
5049,13806,SO_1844,9.782537714,9.699355708,9.878242679,9.828682094,10.34231788,10.26996684,9.912281357,10.14078995
5050,2048,SO_1845,9.648750944,9.005361634,8.308908204,9.015153916,10.45568049,10.53988588,10.47227842,10.26513896
5051,11763,SO_1845,10.41821508,10.5768682,10.93895935,10.95857543,10.9642281,10.99821584,10.77792315,11.17566655
5052,2283,SO_1845,4.442949322,4.269133251,5.101979361,4.269133251,5.520621441,5.891785837,5.269129965,5.447086131
5053,5304,SO_1846,7.403012772,8.085638896,7.964882826,8.171020822,7.616319743,7.879775215,7.911579768,7.904070606
5054,5739,SO_1846,9.231896372,9.287640446,9.158688795,9.213332305,8.459047687,8.321223878,8.774169625,8.634471071
5055,7902,SO_1846,11.14631018,10.62938516,9.964566624,10.55512841,12.97786685,13.3892154,13.06469542,13.43867411
5056,5690,SO_1847,8.326570324,8.982191709,8.714889736,8.559735904,8.105090511,8.133142664,8.164750272,8.237957233
5057,4672,SO_1848,6.494357009,6.317979411,6.500345369,6.235417617,8.313592051,8.612062492,8.135870027,9.316211008
5058,7600,SO_1848,11.6659327,11.7478652,12.07586562,11.83633399,11.78127009,11.45389761,11.8066881,11.70605081
5059,9360,SO_1848,6.01192803,5.446052314,5.084812122,5.839993283,4.501842778,4.381549031,5.17492919,4.941051731
5060,2029,SO_1849,12.08604293,11.88427789,11.80169577,11.6206065,13.2917418,13.22977173,12.91894476,12.40235428
5061,5983,SO_1849,11.11321316,11.11121725,11.03774004,10.91482896,10.56757001,10.80868778,10.50298724,9.480411735
5062,14333,SO_1849,,,,,,,,
5063,9319,SO_1850,10.33228146,9.680414624,10.63965168,10.52817945,10.68939753,10.35449055,10.79484742,10.47949618
5064,11661,SO_1850,4.792794866,5.043031127,4.764876252,4.544969861,4.603631557,4.583088054,4.116351267,4.596194995
5065,10331,SO_1850,10.28345024,10.33953698,10.33028678,10.48107421,10.28983889,10.25074263,10.51264797,10.76308273
5066,7022,SO_1851,8.868822826,9.647627219,9.807304745,9.71526507,9.05282298,8.560452593,9.111624976,8.583905782
5067,9454,SO_1851,10.97754832,10.50087308,10.57834329,10.70420094,10.11622222,10.08401952,9.97938066,9.396538077
5068,10942,SO_1851,6.641601485,6.86843784,6.896711879,7.060359132,6.945810613,7.239897661,7.437492741,7.64948137
5069,5126,SO_1852,10.04396724,10.27201017,9.664502996,10.43729702,8.280336216,8.150699735,7.822770534,7.808361481
5070,11591,SO_1852,7.75926463,8.176017713,8.126543614,8.140350946,8.910736672,9.114149235,8.572818963,9.178276025
5071,11198,SO_1852,11.5723598,12.07824467,11.76703353,12.12508047,11.60650647,11.65339096,11.87328793,12.01348628
5072,11607,SO_1853,8.024793871,7.765079442,7.578137447,7.648358214,7.001761017,7.491102201,7.238704118,7.673530545
5073,8849,SO_1853,8.423904135,8.208082338,8.358788928,8.322069372,8.138112226,8.526132749,7.515946871,8.597703746
5074,11983,SO_1853,7.765286681,8.441388394,8.404742806,8.8184826,8.135870027,8.172896685,7.84647036,8.031873959
5075,43,SO_1854,13.01026039,13.11010094,12.94994638,12.83571121,12.64503215,12.09738409,12.72863138,12.08798075
5076,9375,SO_1854,9.14744367,8.950829503,9.095149971,8.801203409,9.073388704,8.910924011,9.079735001,8.711989846
5077,9458,SO_1854,8.670103274,8.699681195,8.782281884,8.801203409,8.573055742,8.594441574,8.301639487,7.884171055
5078,5407,SO_1855,9.333504994,9.152126588,9.220605266,9.115450352,9.255397668,9.067014366,9.264442806,9.24116409
5079,1293,SO_1855,9.72701651,10.12448496,10.5232251,10.08318855,10.62448143,10.37710893,10.639906,10.50398107
5080,15406,SO_1856,,,,,,,,
5081,8083,SO_1856,7.622281298,7.918677451,7.635945436,8.019764941,8.125736783,7.852530058,8.243918174,8.537340094
5082,13851,SO_1856,13.45981182,13.47681344,13.51941743,13.43167308,14.44348792,13.66796737,13.24178304,12.31586601
5083,9807,SO_1857,8.81628398,8.99832623,8.864283161,8.879009083,8.279175677,8.409258702,8.363724503,8.526866323
5084,14540,SO_1857,,,,,,,,
5085,11964,SO_1857,8.695554863,8.480916748,8.154818554,8.428753093,7.815984189,7.949644869,8.284679941,8.085638896
5086,11829,SO_1858,9.379920008,9.343532937,9.16341404,9.292753198,8.901244297,9.281133342,9.355007095,9.657151101
5087,7493,SO_1858,8.986997729,8.888648399,8.940405627,9.075730063,9.672812197,9.249632203,9.483752986,8.982726503
5088,2732,SO_1858,8.176485285,8.709191839,8.419038824,8.536854624,7.670656871,7.636851793,7.752172133,8.082981081
5089,11982,SO_1859,10.25922845,10.08940922,9.937052048,10.10607226,9.815933749,10.10693104,10.06680409,10.08650958
5090,9633,SO_1860,6.294047928,6.099349659,5.962175064,5.91363953,5.358654289,6.001410172,5.909145156,6.565579475
5091,14352,SO_1860,,,,,,,,
5092,13414,SO_1860,12.67417159,10.98972717,13.01609553,12.12358597,12.66763135,12.10430188,12.59967319,12.81680244
5093,7915,SO_1861,9.831703238,10.02041586,10.01362812,9.907970466,9.779463025,9.418972779,9.813881516,9.701360768
5094,203,SO_1861,8.952741503,8.856133965,8.7817698,8.829425724,8.54605073,8.714138472,8.844215644,8.186269462
5095,7890,SO_1861,10.64731796,10.69970807,10.73988614,10.96438606,11.50660206,11.32134686,11.43614223,11.76317349
5096,9188,SO_1862,4.926300162,5.358654289,5.533332468,5.080821272,6.103945272,5.7632147,6.040976523,6.151652612
5097,12869,SO_1862,9.682446164,9.94333911,9.761707191,9.775198874,8.1666343,8.390572415,7.832297235,7.815984189
5098,4982,SO_1862,8.47940171,8.261360801,8.140031341,8.255471642,7.580730314,7.979604326,7.681897844,7.877859795
5099,7525,SO_1863,6.509281559,6.439312922,6.821376513,6.822173581,7.542307102,6.783408693,7.083147805,6.770252088
5100,8946,SO_1863,7.504819685,7.35232013,7.201205868,7.376397514,7.502583912,7.61540039,7.74462423,7.534546751
5101,14392,SO_1863,,,,,,,,
5102,14810,SO_1864,,,,,,,,
5103,7175,SO_1864,9.84136792,10.39593581,10.10693104,9.974638775,10.46661829,10.12888054,10.63823799,10.4845398
5104,11351,SO_1864,7.723448238,7.342908814,7.815583996,7.075814317,6.789127192,7.090444205,6.952378275,6.9794262
5105,2701,SO_1865,3.927786288,4.014028314,3.885704946,3.927786288,3.335402945,4.337628169,3.280783901,3.672435281
5106,4863,SO_1865,6.421014335,6.658659046,6.556028339,6.494357009,6.458920647,6.422066244,6.299782011,6.509281559
5107,3834,SO_1865,7.41177652,8.273796009,8.03737584,8.252665848,7.492605008,7.148795214,7.57483068,7.327272726
5108,11233,SO_1866,8.163964533,8.208082338,7.943064723,8.024274449,7.205488679,7.387479623,7.317413408,7.815984189
5109,11317,SO_1866,6.321366017,6.914759889,6.706928853,6.718105917,8.188743802,8.037719012,7.884171055,7.840385104
5110,12592,SO_1866,12.66861497,12.95680154,12.85521525,13.08003158,12.88622649,13.01890107,13.39848069,13.34271277
5111,1193,SO_1867,12.29193512,12.19517035,12.6346622,12.20753871,12.8643736,12.56406762,12.60671608,12.71902111
5112,10393,SO_1867,9.115450352,8.935073203,8.883693627,8.832000198,7.784021899,7.607099744,7.580494791,7.752172133
5113,15010,SO_1867,,,,,,,,
