,GENE,GSM769226,GSM769227,GSM769228,GSM769229,GSM769230,GSM769231,GSM769232,GSM769233
8251,SO3745,-1.21827532,-1.91358036,-3.255078683,-6.286640944,-2.31140961,-1.403159681,-2.494333138,-1.944120675
8252,SO3746,-1.690853423,-2.342326657,-2.437502424,,-2.587802741,-1.623444464,-2.987684574,-3.705130648
8253,SO3746,-1.465863183,-2.243804549,-3.462207688,-2.357918179,-3.001070534,-1.169546855,-1.337897841,-2.996219925
8254,SO3747,-0.837579221,-1.225361598,-1.880997929,-0.910687947,-2.132087638,1.579750433,-1.658563721,-1.398074544
8255,SO3747,-1.213167774,-2.000201704,-2.803571027,-2.174381011,-3.102615756,-1.288286404,-0.771662573,-2.337018559
8256,SO3748,-3.428499469,-3.319132686,-4.998088379,,-4.0615052,-2.839124665,-3.33559018,
8257,SO3748,-3.06828491,-4.572041749,-4.787776502,-4.999507623,-4.019322674,-2.681262903,-2.330110439,-3.895372951
8258,SO3749,-2.33692738,-3.545778988,-3.945029,-2.943277611,-3.139088358,-1.479380555,-2.392511522,-3.032179513
8259,SO3749,-2.684348414,-3.16061563,-3.929930765,-10.2785899,-3.720503308,-1.929907967,-3.372267831,-0.917020717
8260,SO3750,-3.116702889,,,,-3.607268438,-3.133062311,,
8261,SO3750,-1.850636702,-1.986393169,,-0.279083038,-3.073798638,-1.754321586,-0.575542269,-0.185943202
8262,SO3751,-1.000237552,-2.186096735,-2.723389928,-1.905240494,-2.713447688,-1.662736805,-1.352064138,-3.32000394
8263,SO3751,-1.163797768,-1.097813384,-3.17799874,-0.914203666,-0.911416596,-0.753370078,-1.782514302,-0.813136818
8264,SO3753,-0.397802904,-0.966912648,-1.396410424,-2.206220795,-2.211725794,0.182421481,-1.453747292,-0.556834435
8265,SO3753,-0.32422165,-0.419374508,-2.184125886,-0.135895723,-1.513327682,-0.843652382,0.214910169,-0.59512974
8266,SO3754,-0.66354945,-0.634764378,-2.008499677,0.120211072,1.409084559,-0.921919704,,1.400975044
8267,SO3754,0.767755914,-0.126562203,0.072618348,-1.327817431,0.507440265,0.539712047,0.074484437,0.935303485
8268,SO3755,-1.139093907,-1.795889506,-3.394194353,-0.659287368,-1.896072415,-1.092058748,-0.539120716,0.09612705
8269,SO3755,-0.374047968,-0.68377908,-0.319243491,,-3.969111453,-3.004014933,-1.478526038,-1.104693171
8270,SO3755F,-0.512182812,-1.179194081,-0.805397699,0.354698448,-2.052526915,0.268740994,,1.42723794
8271,SO3755F,-0.255062627,-0.622128381,-0.40197469,-1.801598054,1.626244622,0.640000037,-1.434840087,-0.408580779
8272,SO3756,-1.618895425,-0.953001868,-1.694541884,-5.848993019,-5.418234774,-2.33611441,-2.320638278,-1.389656283
8273,SO3756,-1.001456054,-1.365495384,-6.717897283,-0.890049103,-3.221857946,-1.898960671,-0.250765602,-0.448077029
