,GENE,GSM509290,GSM509291,GSM509292,GSM509293
133,IG_SO0357_SO0358_at,9.700613108567463,7.588714635582264,8.829722735086058,7.159871336778389
134,IG_SO0358_SO0357_at,6.4822029262959555,6.894817763307944,5.655351828612554,7.757556688939453
135,IG_SO0361_SO0362_x_at,12.501264968232173,12.444523169452209,13.815733519161004,12.861765433591213
136,IG_SO0362_SO0361_x_at,13.647986748245113,13.07551257576994,13.672303786257528,13.527403696522999
137,IG_SO0372_SO0373in_x_at,10.511357340697119,10.419433550705378,10.995837800227287,11.389416236376436
138,IG_SO0373ic_SO0377_at,9.471268764173582,10.70675500649037,9.65445702300123,9.850186837645774
139,IG_SO0373in_SO0372_x_at,10.684222633282948,9.92851837525789,10.111005221747716,9.051208940914766
140,IG_SO0377_SO0373ic_at,8.169925001442312,8.627169060841846,9.047123912114026,7.279842693520348
141,IG_SO0380_SO0381_at,9.643495470922767,9.083479327331842,9.83541884047548,9.04220656012069
142,IG_SO0381_SO0380_at,8.342519189660608,8.679480099505446,8.32822611878773,6.8875252707415875
143,IG_SO0383_SO0384_at,8.227375273626212,6.417852514885898,7.546122758857796,6.3110671022555955
144,IG_SO0384_SO0383_at,10.680095752594085,9.10276309662559,9.047669251391314,7.762215915727782
145,IG_SO0384_SO0386_at,9.801061627967208,9.368506461507693,10.092096414990792,9.389738878676983
146,IG_SO0386_SO0384_at,7.841092544693431,2.0,7.778734244117836,5.004501392234941
147,IG_SO0389_SO0390.1_at,8.116863757690899,8.093285503877924,8.060695931687555,7.184875342908284
148,IG_SO0390.1_SO0389_at,7.212374787567268,6.886306263452426,7.148730779173189,4.161887682376894
149,IG_SO0392_SO0393_x_at,8.933395595120775,7.59618975614441,8.577806447470149,8.493855449240822
150,IG_SO0393_SO0392_at,10.225086906007228,8.566054038171092,9.271463027904375,7.355791546753647
151,IG_SO0395_SO0396_at,7.349612971824522,5.949534933017012,5.8604662585171665,3.350497247084133
152,IG_SO0396_SO0395_at,10.050256801598989,9.111135670234708,9.350055177204501,9.723660944409984
153,IG_SO0399_SO0400_at,5.419538891513785,9.514911264861354,8.590212761408358,7.618385502258606
154,IG_SO0400_SO0399_at,10.195618275123085,10.51204906750144,11.029080126691666,10.43149760425805
155,IG_SO0402_SO0403_at,8.81890167588564,9.020424415200432,9.28169825009883,7.464341532761104
156,IG_SO0403_SO0402_x_at,7.8233672400462355,6.824004050933153,6.2761244052742375,6.658211482751795
157,IG_SO0404_SO0405_at,8.169423978676072,7.933100474931368,7.470048726011326,2.6322682154995127
158,IG_SO0405_SO0404_at,4.405992359675837,0.8479969065549501,5.121015400961366,-0.3219280948873623
159,IG_SO0408_SO0409_x_at,5.38543103719352,3.017921907997262,5.7114949066500875,8.386724740799167
160,IG_SO0409_SO0408_x_at,6.776103988073165,6.865423978313134,6.917670434361761,6.106432077816929
161,IG_SO0415_SO0416_at,6.74416109557041,7.491853096329675,6.916476644437717,7.666756591884804
162,IG_SO0416_SO0415_x_at,8.668175868970138,8.863876520221096,8.101713100188494,10.124121311829187
163,IG_SO0417_SO0419_x_at,10.053925881531105,9.800899899920305,9.790837186997955,9.335836940378002
164,IG_SO0419_SO0417_x_at,8.111657346263131,7.167919865551935,7.304693557471008,7.6997459479710075
165,IG_SO0421_SO0422_x_at,9.961304983525824,9.42479614913847,9.709083812550343,10.209087771580226
166,IG_SO0422_SO0421_at,9.195003027111333,7.11790278909403,8.20945336562895,6.316507819103109
167,IG_SO0422_SO0423_x_at,9.32777717058405,9.264207996593125,8.79571500650173,9.427522370682553
168,IG_SO0423_SO0422_x_at,8.279842693520347,6.050936965225225,7.538382960032119,4.921245888585589
169,IG_SO0429_SO0430_x_at,10.302410450425622,9.434211203485566,10.065146824419859,9.604923816042515
170,IG_SO0430_SO0429_x_at,10.993646060016596,10.012345190419829,10.20774646687728,8.12670447284319
171,IG_SO0432_SO0433_at,9.47796059377623,9.378078055995504,9.473705749619416,9.062585866511256
172,IG_SO0433_SO0432_at,9.340740280630179,8.81985974678364,8.946906274456397,9.822570830950168
173,IG_SO0433_SO0435_at,10.631540867341485,10.31741261376487,10.305719778053145,9.064742764750257
174,IG_SO0435_SO0433_at,9.019034669364338,7.227856573060497,8.493455200926176,0.48542682717024166
175,IG_SO0435_SO0436_x_at,10.995767150877802,9.92851837525789,11.205793249397157,9.589463892956097
176,IG_SO0436_SO0435_x_at,9.664625054869296,8.717333699453693,9.215532999745657,8.69939893773701
177,IG_SO0444_SO0445_at,7.364572432295856,6.4110872267986005,6.949534933017012,7.2918613695852175
178,IG_SO0445_SO0444_x_at,8.884475819086484,7.662490363913776,7.472487771462744,6.676662334857967
179,IG_SO0449_SO0450_at,6.678071905112637,8.445428759238323,7.447909748742077,9.473299871141316
