,index,ORF,GSM87832,GSM88468,GSM88469,GSM88470,GSM88471,GSM88472,GSM88473,GSM88474,GSM88475,GSM88476,GSM88477,GSM88478,GSM88479,GSM88482,GSM88537,GSM88538,GSM88539,GSM88540,GSM88541,GSM88542
4282,2195,SO1945,-0.231074664,-0.3382504,0.032806145,-0.020340448,-0.02620507,-0.083141235,-0.352915787,-0.323732592,-0.214240226,-0.033569533,-0.070966521,0.015782997,,0.115033243,-0.268816758,-0.075520008,-0.960159735,-0.846843212,-0.241270432,0.242450074
4283,7955,SO1945,-0.231074664,-0.3382504,0.032806145,-0.020340448,-0.02620507,-0.083141235,-0.352915787,-0.323732592,-0.214240226,-0.033569533,-0.070966521,0.015782997,-0.055891201,0.115033243,-0.268816758,-0.075520008,-0.960159735,-0.846843212,-0.241270432,0.242450074
4284,10835,SO1946,-0.289827252,-0.486004021,0.041242982,-0.114035243,0.012926174,-0.144010303,-0.413115187,-0.415037499,-0.103146927,-0.103146927,-0.110915901,0.113700499,0.173767068,-0.190997225,-0.02180437,-0.171368418,-0.751465164,-0.666576266,-0.12973393,-0.090802937
4285,5075,SO1946,-0.289827252,-0.486004021,0.041242982,-0.114035243,0.012926174,-0.144010303,-0.413115187,-0.415037499,-0.103146927,-0.103146927,-0.110915901,0.113700499,0.25821739,-0.190997225,-0.02180437,-0.171368418,-0.751465164,-0.666576266,-0.12973393,-0.090802937
4286,7839,SO1947,-0.508403406,-0.258425153,0.03562391,-0.284545873,0.01720929,-0.291592017,-0.352915787,-0.625934282,0.176322773,-0.007231569,-0.204233052,-0.177881725,-0.161653263,-0.104697379,0.082702589,-0.473931188,-0.53951953,-0.76121314,0.074505436,-0.50021788
4287,2079,SO1947,-0.508403406,-0.258425153,0.03562391,-0.284545873,0.01720929,-0.291592017,-0.352915787,-0.625934282,0.176322773,-0.007231569,-0.204233052,-0.177881725,-0.171368418,-0.104697379,0.082702589,-0.473931188,-0.53951953,-0.76121314,0.074505436,-0.50021788
4288,2175,SO1948,-0.364013496,-0.488026018,-0.282789701,-0.279283757,-0.212567535,-0.095419565,-0.946193556,-0.991369695,-0.261880711,-0.386468347,-0.347398782,-0.251538767,,-0.139235797,-0.875671865,-0.552156356,-0.678071905,-0.2968993,-0.586405918,-0.214240226
4289,7935,SO1948,-0.364013496,-0.488026018,-0.282789701,-0.279283757,-0.212567535,-0.095419565,-0.946193556,-0.991369695,-0.261880711,-0.386468347,-0.347398782,-0.251538767,0.070389328,-0.139235797,-0.875671865,-0.552156356,-0.678071905,-0.2968993,-0.586405918,-0.214240226
4290,5055,SO1949,-0.253257284,-0.095419565,-0.545824107,-0.241270432,-0.23786383,,-1.380821784,-0.461958547,-0.751465164,-0.706041021,0.105678078,0.070389328,,0.478195258,-2.040971781,-1.535331733,-1.54793177,0.289244285,-1.227692025,0.295135249
4291,10815,SO1949,-0.253257284,-0.095419565,-0.545824107,-0.241270432,-0.23786383,,-1.380821784,-0.461958547,-0.751465164,-0.706041021,0.105678078,0.070389328,,0.478195258,-2.040971781,-1.535331733,-1.54793177,0.289244285,-1.227692025,0.295135249
4292,3953,SO1950,0.303342394,0.096261853,-0.030619235,-0.03209363,-0.18606493,-0.506352666,-0.533242384,-0.785875195,-0.055891201,-0.16326792,-0.061902439,0.022900402,-0.360304767,-0.126580497,-0.174621396,-0.054392297,-0.327348371,-0.148800661,-0.274040765,0.115033243
4293,9713,SO1950,0.303342394,0.096261853,-0.030619235,-0.03209363,-0.18606493,-0.506352666,-0.533242384,-0.785875195,-0.055891201,-0.16326792,-0.061902439,0.022900402,-0.305788392,-0.126580497,-0.174621396,-0.054392297,-0.327348371,-0.148800661,-0.274040765,0.115033243
4294,5011,SO1951,-0.675765438,0.10701825,,0.341416524,,,,0.263034406,,-0.675765438,0.485426827,0.137503524,0.2880632,0.102993993,-0.691988685,0.137503524,,,-0.758769964,0.321928095
4295,10771,SO1951,-0.675765438,0.10701825,,0.341416524,,,,0.263034406,,-0.675765438,0.485426827,0.137503524,0.052415894,0.102993993,-0.691988685,0.137503524,,,-0.758769964,0.321928095
4296,7267,SO1951F,,,,,,,,,,,,,,,,,,,,
4297,8944,SO1951F,,,,,,,,,,,,,-0.902389203,,,,,,,
4298,3184,SO1951F,,,,,,,,,,,,,,,,,,,,
4299,1507,SO1951F,,,,,,,,,,,,,,,,-0.543719518,,,0.059355278,-0.639354798
4300,4387,SO1952,-0.452056689,-0.120294234,-0.588573754,-0.567040593,-0.341902795,-0.086201035,-0.57132159,-0.205896101,-0.641603738,-0.226003675,0.280956314,-0.10780329,-0.411195433,-0.09696173,-1.248107862,-1.089267338,-0.23786383,0.126972856,-0.659722595,-0.253257284
4301,10147,SO1952,-0.452056689,-0.120294234,-0.588573754,-0.567040593,-0.341902795,-0.086201035,-0.57132159,-0.205896101,-0.641603738,-0.226003675,0.280956314,-0.10780329,0.27857955,-0.09696173,-1.248107862,-1.089267338,-0.23786383,0.126972856,-0.659722595,-0.253257284
4302,7271,SO1953,-0.249822294,0.03562391,-0.015957574,-0.341902795,,,-0.084670324,-0.249822294,0.189033824,-0.038006323,-0.329159664,-0.18606493,-0.057391664,-0.242976753,-0.40354186,-0.736965594,-0.236163541,-0.422752464,0.133563526,-0.415037499
4303,1511,SO1953,-0.249822294,0.03562391,-0.015957574,-0.341902795,,,-0.084670324,-0.249822294,0.189033824,-0.038006323,-0.329159664,-0.18606493,-0.013043037,-0.242976753,-0.40354186,-0.736965594,-0.236163541,-0.422752464,0.133563526,-0.415037499
4304,4391,SO1954,-0.418889825,0.001441974,-0.241270432,-0.054392297,0.117695043,-0.03948829,-0.411195433,-0.413115187,-0.103146927,0.153156788,-0.029146346,0.052415894,-0.650634722,-0.1376478,-0.569179503,-0.962969269,-0.416962376,-0.74178261,-0.224317298,-0.590744853
4305,10151,SO1954,-0.418889825,0.001441974,-0.241270432,-0.054392297,0.117695043,-0.03948829,-0.411195433,-0.413115187,-0.103146927,0.153156788,-0.029146346,0.052415894,-0.479954976,-0.1376478,-0.569179503,-0.962969269,-0.416962376,-0.74178261,-0.224317298,-0.590744853
4306,7251,SO1955,-0.103146927,-0.144010303,-0.036525876,-0.416962376,0.266636643,-0.134477041,-0.724992953,-0.891642822,0.200378798,0.23511432,-0.59946207,-0.492078535,-0.120294234,-0.270555993,-0.397828209,-1.023269779,-0.093879047,-1.325539348,0.14404637,-0.932361283
4307,1491,SO1955,-0.103146927,-0.144010303,-0.036525876,-0.416962376,0.266636643,-0.134477041,-0.724992953,-0.891642822,0.200378798,0.23511432,-0.59946207,-0.492078535,-0.347398782,-0.270555993,-0.397828209,-1.023269779,-0.093879047,-1.325539348,0.14404637,-0.932361283
4308,4371,SO1956,,,-0.373327247,0.032806145,,,,0.5360529,-0.836501268,-0.53951953,0.513995979,0.482332021,-0.394031641,0.734655433,-0.397828209,0.264236151,-1.224317298,0.99494171,-0.349235441,0.803227036
4309,10131,SO1956,,0.378511623,-0.373327247,0.032806145,,,,0.5360529,-0.836501268,-0.53951953,0.513995979,0.482332021,0.227741076,0.734655433,-0.397828209,0.264236151,-1.224317298,0.99494171,-0.349235441,0.803227036
4310,1471,SO1957,0.014355293,0.199122642,0.248534836,0.032806145,0.064882852,0.055195654,-0.024736678,0.0,0.132247798,0.018634174,-0.171368418,-0.18606493,-0.314732593,0.14404637,0.01720929,-0.087733372,0.195347598,-0.248107862,0.214124805,-0.008682243
4311,7231,SO1957,0.014355293,0.199122642,0.248534836,0.032806145,0.064882852,0.055195654,-0.024736678,0.0,0.132247798,0.018634174,-0.171368418,-0.18606493,,0.14404637,0.01720929,-0.087733372,0.195347598,-0.248107862,0.214124805,-0.008682243
4312,10111,SO1958,0.149259365,0.128293401,0.186500558,0.23511432,-0.045431429,0.045442971,0.123003954,0.053806444,-0.043943348,0.392866916,-0.321928095,-0.272297327,-0.023269779,-0.407363571,0.028569152,-0.325539348,0.189033824,-0.560642822,0.057970069,-0.397828209
