,index,ORF,GSM613947,GSM613948,GSM613949,GSM613950,GSM613951,GSM613952
84,6840,SO_0028,11.71514921,11.88471835,11.18394775,11.08643306,11.14962704,11.06044107
85,2298,SO_0028,12.3954293,12.69544577,13.14684125,12.87720471,12.62378875,12.88522004
86,3465,SO_0029,7.831781266,7.675328096,8.355204955,8.048680685,7.952764575,8.122011225
87,6667,SO_0029,10.57780193,9.522049524,9.24971491,10.41883975,9.417880143,10.62546542
88,12849,SO_0029,,,,,,
89,4139,SO_0030,12.82509551,11.56766627,11.09306328,12.08446377,10.42319131,12.33780867
90,903,SO_0030,10.32380868,11.00516635,11.13672082,11.62419931,12.49030318,11.24780425
91,11233,SO_0030,9.851254423,9.500324498,9.064465829,10.18135286,9.073955231,9.690889746
92,2599,SO_0031,12.17440539,11.42272448,11.46462312,11.17466265,11.03657388,11.24542747
93,11139,SO_0031,7.493283396,6.623880558,8.285058539,8.579246877,8.982086353,8.797514593
94,7376,SO_0031,8.58280318,9.043064041,8.853480556,9.095196974,9.417880143,8.733599785
95,10049,SO_0032,9.004484424,8.197833567,9.531333592,10.79295591,10.70402277,10.01280171
96,7804,SO_0032,14.42929696,14.23492807,13.90268364,13.5168322,13.02559852,12.84330214
97,4622,SO_0032,9.407109507,9.626138256,9.654364341,9.564879824,9.132254284,9.956136876
98,10050,SO_0033,12.31804821,11.56236503,12.04218731,11.81432896,13.649227,11.98239006
99,4140,SO_0033,12.87998237,13.31778776,12.68133439,13.18192082,12.59487899,13.39933731
100,7080,SO_0033,9.64581164,9.849546555,9.712239035,9.625596445,9.294746832,10.02938195
101,8402,SO_0034,9.35926725,9.26362278,8.722467054,9.137030193,8.324738629,9.029642536
102,12352,SO_0034,15.25276097,15.45382443,15.53902394,15.44103939,15.17666939,14.98495453
103,6591,SO_0034,9.833719329,8.713268513,10.07498363,9.468867099,9.84598522,9.103226417
104,13069,SO_0035,,,,,,
105,4394,SO_0035,10.39759392,10.74910457,10.60784714,10.59766496,12.4050649,11.47392158
106,8017,SO_0035,10.34882175,10.73035078,10.69045234,10.49740817,11.92028641,10.42628746
107,2166,SO_0036,12.60801984,12.49843904,11.48991174,12.72048672,12.06908039,11.95499224
108,12799,SO_0036,,,,,,
109,6592,SO_0036,9.665718116,9.866718251,10.27163922,10.16771369,9.616699942,10.31317123
110,2600,SO_0037,8.736384075,8.146687016,8.455146321,8.075535041,8.226369766,7.984214275
111,5653,SO_0037,13.19438056,13.77423661,13.6870393,13.57647457,13.71917668,13.60268495
112,12800,SO_0037,,,,,,
113,5369,SO_0038,14.94094317,14.56715458,14.96997187,14.32227394,14.41124806,14.0393931
114,717,SO_0038,11.6710356,12.32449787,11.58294829,11.39348047,11.15682899,10.98555142
115,8485,SO_0038,14.3814457,14.46566097,14.33281488,14.13581109,14.02339178,13.71186001
116,9453,SO_0039,9.779822226,8.853743022,8.579510724,9.863156869,9.574765179,9.375328939
117,7280,SO_0039,9.704742963,9.723374784,10.30986405,10.60275467,10.91393794,10.09913312
118,3200,SO_0039,7.768413545,9.314059705,8.609152141,8.276665423,8.779988811,8.064255557
119,5453,SO_0040,8.772545742,8.342655778,9.935587747,10.11894694,10.97273459,9.212085668
120,10051,SO_0040,14.2616555,14.12681952,13.72838883,13.84775291,13.2154203,13.32965036
121,1653,SO_0040,8.661458665,8.785088761,10.41063396,10.31076665,11.13465882,9.903193639
122,9454,SO_0041,9.004484424,8.47587412,10.22240317,10.19486569,10.52666232,9.305211943
123,4293,SO_0041,13.15753161,13.24173192,13.39602786,12.72634517,11.94963774,12.29696549
124,1234,SO_0041,12.27937834,11.90161424,12.18861563,11.65399489,11.55059907,12.05346028
125,8865,SO_0042,9.779822226,9.685245856,8.722467054,9.45780534,9.716606326,10.35772412
126,1113,SO_0042,10.20560846,10.02820326,9.465761627,10.67219757,9.616699942,10.98270194
127,4343,SO_0042,13.68957264,13.6963807,13.85559017,13.88650179,13.28793023,13.64978246
128,10052,SO_0043,8.500072096,7.804607364,9.287960718,9.150721458,9.880950699,9.521981821
129,974,SO_0043,8.772545742,9.043064041,9.042410477,8.833656195,8.547766817,9.183166879
130,6915,SO_0044,8.62261786,8.47587412,8.38919823,7.993732615,8.706317099,8.024680107
131,2113,SO_0044,11.43355379,11.13215256,10.46250279,11.5757292,10.82637964,11.09252088
132,11399,SO_0044,11.30479892,11.11777852,11.38149257,11.94876955,10.8537608,11.18718063
133,7741,SO_0045,12.55233869,11.76979692,11.00852443,12.28995433,11.27366145,12.0696863
134,11317,SO_0045,9.498415927,9.455896848,10.00694509,9.501566628,9.394052683,9.575318021
135,3714,SO_0045,9.15096979,8.713268513,7.971664603,8.203968365,7.631661043,7.963638469
136,12589,SO_0046,11.07601093,10.60215848,11.38149257,11.58864296,12.01456742,10.62181137
137,5554,SO_0046,10.36116891,10.21456222,10.0638615,10.07535392,9.981106647,10.00164289
138,2232,SO_0046,7.418785901,8.146687016,8.095849285,6.973058685,8.174962149,6.918936745
139,11400,SO_0047,11.0755414,10.89152002,10.44541797,11.12945511,9.898125856,10.97124759
140,6916,SO_0047,8.272762545,8.247499375,8.355204955,8.782509997,9.828185148,8.448461489
141,3989,SO_0047,10.42138019,10.2412323,9.754200758,10.54576182,9.160582799,10.40944723
142,6369,SO_0048,7.831781266,7.537442756,8.014020133,7.787423662,7.952764575,8.720497166
143,3623,SO_0048,7.893130845,8.295751947,7.645244272,7.556962532,8.121975614,7.921782906
144,12590,SO_0048,12.5000399,12.60030127,13.27369853,13.44047472,13.75637327,13.32405835
145,3084,SO_0049,10.25932897,10.60215848,9.594127749,10.30493213,10.8620404,10.00164289
146,10053,SO_0049,13.22862099,13.0580462,12.90947157,12.24659228,12.66735864,12.57797826
147,7118,SO_0049,9.407109507,9.522049524,9.30672387,9.565525305,9.697159038,10.89752922
148,2167,SO_0050,9.258728038,8.432659952,8.211859326,9.052176864,8.629021252,9.143725084
149,11745,SO_0050,12.93700541,12.25715521,12.25653584,11.65399489,10.96455307,11.3793735
150,7472,SO_0050,8.909323142,8.558989332,8.095849285,8.598843337,8.121975614,8.368538335
151,10934,SO_0051,11.95480232,11.8761957,11.54323141,11.63684433,11.13465882,10.77776042
152,6763,SO_0052,9.761408352,9.79679286,10.20223344,10.37196074,10.29886894,10.08332965
153,3409,SO_0052,12.48878395,13.32720223,13.34254134,13.77834651,14.7311505,13.20047871
154,13112,SO_0052,,,,,,
155,5514,SO_0053,8.272762545,6.983468125,7.259563675,7.81830376,6.818584569,7.575206565
156,2168,SO_0053,13.32513989,13.88894306,13.93912892,13.77386257,13.18939204,13.59382657
157,10418,SO_0053,12.62611287,11.92659311,12.61770476,12.6321291,11.89032613,12.05346028
158,12749,SO_0054,,,,,,
159,3525,SO_0054,9.383380174,9.981599394,9.726359535,9.037561921,10.20506238,9.466655638
160,8468,SO_0054,10.7569399,10.52813584,10.34768552,10.21448839,10.63359651,11.01374202
161,9272,SO_0055,9.919371758,10.18739518,9.781525086,9.785188993,9.84598522,10.03486718
162,6088,SO_0055,15.372474,15.10770775,15.03305623,14.56432035,15.14208076,14.38313132
163,9415,SO_0055,12.65661135,12.29921256,12.60231639,12.03435263,11.46029405,11.86179145
164,10054,SO_0056,8.065875369,7.390516293,7.075153956,7.260862826,7.086083617,6.981829013
165,975,SO_0056,10.14983291,10.79495446,9.515210219,10.31115479,10.32459754,10.10436318
166,5073,SO_0056,11.33611881,11.49683792,12.99895905,12.99454487,13.79393655,13.13188474
167,2233,SO_0057,12.09498836,12.22730377,10.66805097,12.06610625,10.8537608,11.94036079
168,11578,SO_0057,14.28299462,14.13928895,13.30849342,13.91345965,13.1681368,13.934331
169,6631,SO_0057,12.16736349,12.69302068,12.30946079,12.71106345,12.39899662,12.21658226
170,12136,SO_0058,7.262717512,8.432659952,7.318520036,7.787423662,9.013328577,7.19382537
171,2169,SO_0058,8.119955626,7.741010033,7.791875506,8.368952775,7.086083617,8.494603119
172,4879,SO_0058,11.83105776,12.36466467,11.60626478,11.73536935,11.00500608,12.09633091
173,2114,SO_0059,9.815972352,11.49161851,10.23238435,9.268649707,11.17068157,10.80381058
174,11318,SO_0059,13.73084629,14.47909703,14.15563289,14.39619909,14.24941609,14.05170326
175,6178,SO_0059,10.20560846,9.314059705,8.549308861,8.618201663,7.952764575,8.680520297
176,7634,SO_0060,14.72217721,14.20805378,14.92927952,14.7931707,15.28719246,14.26737129
177,10247,SO_0060,9.309841473,8.951323458,8.974261896,9.512308354,9.103385073,9.221603138
178,345,SO_0060,10.00029445,9.626138256,9.128772147,8.992856737,8.779988811,9.331892683
179,5555,SO_0061,9.902636701,10.8659622,11.1787758,10.6526935,10.36235741,11.38383869
180,12850,SO_0061,,,,,,
181,2427,SO_0061,9.430466867,9.338655063,9.448906128,9.863156869,10.33729332,9.711506979
182,10795,SO_0062,8.457059055,8.676085819,9.149614754,8.456362441,8.417630182,8.177920665
183,1402,SO_0062,8.842444067,8.342655778,9.361641665,9.479847128,9.898125856,9.00794799
184,6485,SO_0062,9.685359621,10.01283299,10.65369792,10.54576182,10.68424741,10.6756789
185,9173,SO_0063,10.7662719,11.18179805,11.35421562,11.366748,10.55957752,10.91257612
186,10796,SO_0063,14.78108422,14.95763786,15.06601686,14.81809418,13.82941873,14.42528286
187,4823,SO_0063,10.23271619,11.2493004,10.72629846,10.71043623,10.9059505,10.84830121
188,12476,SO_0064,8.223326637,7.983645906,7.971664603,8.075535041,8.226369766,7.963638469
189,5025,SO_0065,10.69965033,11.20917814,11.09340683,11.004076,10.13415888,10.90055113
190,12851,SO_0065,,,,,,
191,2299,SO_0065,9.407109507,8.919479237,9.594127749,10.82381975,10.28583214,10.2100759
192,10055,SO_0066,8.119955626,9.043064041,8.828146149,7.848699192,8.706317099,8.122011225
193,5370,SO_0066,9.004484424,9.013092208,9.414611174,9.435431861,10.17711311,9.029642536
194,2170,SO_0066,10.19186323,10.63276244,11.12062962,10.89614687,11.72073202,10.92746831
195,7009,SO_0067,12.72536385,12.23399097,11.55126259,12.01916462,11.89464441,11.67648258
196,2601,SO_0067,10.61956516,9.849546555,9.361641665,11.53093858,10.60233506,10.78104241
197,12541,SO_0067,11.99114527,11.80164774,12.10084239,11.30551122,11.04435943,11.19951032
198,2800,SO_0068,8.457059055,8.819795504,9.064465829,8.598843337,9.915102189,8.524649553
199,9455,SO_0068,12.29238374,11.41722994,11.21964272,11.11881891,12.29826535,10.71737766
200,7119,SO_0068,10.77554423,11.38156152,11.76664013,11.12945511,11.11260669,11.3946065
201,1047,SO_0069,8.62261786,8.98251969,8.927081724,8.434943365,9.464420708,9.240459275
202,4177,SO_0069,9.232503173,9.211431659,9.190456377,8.962309363,9.160582799,9.221603138
203,8403,SO_0069,13.44793738,14.16138915,13.17051413,13.88073404,14.92791991,13.92655369
204,7986,SO_0070,9.232503173,8.598987151,8.487146907,8.276665423,8.668142198,8.733599785
205,11973,SO_0070,9.45346337,8.47587412,8.776201842,9.066652711,7.631661043,8.870898273
206,5949,SO_0070,8.661458665,8.093989323,8.722467054,7.691785458,8.982086353,8.554145615
207,1476,SO_0071,10.04678405,9.704433614,9.343558967,10.61791757,9.697159038,9.938700806
208,12060,SO_0071,10.01595573,9.778778936,10.223029,10.94511092,9.2688553,11.0792406
209,4561,SO_0071,12.88200057,12.62085958,12.90956926,12.23995368,11.72558741,13.21514536
210,904,SO_0072,10.59883373,10.64282201,9.995291137,10.94511092,9.417880143,10.32668085
211,8632,SO_0072,9.0647844,9.38666363,9.190456377,9.595549674,9.931884173,9.183166879
212,11319,SO_0072,11.09790855,11.18136609,11.40826439,11.02700569,10.73318929,11.88030593
213,6764,SO_0073,10.52384979,10.71135128,10.92454301,10.37753316,9.880950699,10.37082831
214,9818,SO_0073,13.99040748,13.93065231,14.05746891,14.45174205,13.49416359,14.00214997
215,1340,SO_0073,9.094060841,8.47587412,10.18178082,10.07581003,10.20506238,10.59224301
216,2539,SO_0074,9.64581164,9.997299517,10.24229764,9.880456128,9.637229523,9.731839729
217,9456,SO_0074,10.06195784,10.59181207,9.794999227,8.782509997,8.950192522,8.400975802
218,8281,SO_0074,10.99838482,11.0512678,10.08602175,10.0898794,10.69416879,10.87004456
219,12200,SO_0075,11.70059383,12.39780019,12.62533785,11.94261964,11.76856678,11.85712551
220,1716,SO_0075,8.541970246,8.517967338,8.355204955,8.252777466,8.815560135,7.812867196
221,7281,SO_0075,9.723874695,9.704433614,9.287960718,9.150721458,9.242509079,9.163574797
222,6328,SO_0076,11.88784414,12.4760467,12.25392259,11.84708265,13.55274508,12.29581629
223,11044,SO_0076,11.29191678,11.10326027,11.59853435,10.81067278,10.4350586,10.63999031
224,2801,SO_0076,9.232503173,8.951323458,8.776201842,8.368952775,8.462178747,8.846821273
225,2428,SO_0077,8.69936753,8.342655778,8.549308861,8.63732697,8.743586531,8.140848324
226,11320,SO_0077,10.03145112,9.997299517,9.821582561,10.44738985,9.320198508,10.52342675
227,6841,SO_0077,10.27245529,9.585376983,9.834696022,9.846184824,9.2688553,9.192868286
228,7742,SO_0078,10.55646099,10.08811779,10.44541797,10.74308755,9.553343564,11.32862243
229,1654,SO_0078,8.457059055,8.432659952,8.211859326,9.109270169,8.950192522,9.522466631
230,4623,SO_0078,10.55646099,10.78589976,10.83539085,10.49193484,10.85320714,10.70706481
231,2903,SO_0079,10.68065651,10.88305075,11.12601326,8.899325654,8.743586531,8.653294108
232,12477,SO_0079,10.52384979,9.981599394,10.23238435,10.19486569,9.96488228,10.59969176
233,6537,SO_0079,11.00628818,11.0206972,11.4982439,10.71984044,10.17711311,10.6756789
234,9819,SO_0080,11.26580305,11.26202238,12.00464557,11.39053449,11.22008233,11.17474496
235,976,SO_0080,11.40392172,11.60939028,12.09260757,12.51914892,11.96614591,12.56563388
236,6727,SO_0080,10.82159623,10.92491048,11.33574083,11.78993107,10.82637964,11.53943716
237,13405,SO_0081,,,,,,
238,3772,SO_0081,8.58280318,9.38666363,9.107638388,8.391245153,9.828185148,8.368538335
239,7167,SO_0081,11.13488643,11.85466641,11.84715057,11.06073328,12.7387764,11.33086644
240,5371,SO_0082,9.309841473,9.26362278,10.40180639,9.366221061,12.04960482,10.23892387
241,7927,SO_0082,10.25932897,10.26742309,9.431857422,10.13961031,9.487155867,10.08332965
242,0,SO_0082,7.011425994,6.983468125,6.813475953,7.413395367,7.560860641,6.757942999
243,9820,SO_0083,7.341930331,7.675328096,8.095849285,8.498372343,9.215692612,8.882797492
244,4929,SO_0083,14.87325574,15.32657647,15.39203898,12.85705292,12.23835403,12.82827629
245,474,SO_0083,12.06877487,11.95924006,12.231595,12.92899255,11.60430209,13.37665015
246,8424,SO_0084,10.92472247,10.26742309,10.513097,10.13961031,10.99750673,10.63637269
247,11321,SO_0084,7.011425994,7.06920386,7.593960701,7.625443259,7.892672789,7.134624644
248,1655,SO_0084,8.909323142,9.646104905,9.30672387,9.34241838,10.02872775,8.917953699
249,3233,SO_0085,10.12112476,10.26742309,9.547283491,10.090331,9.828185148,9.57578569
250,5950,SO_0085,8.223326637,8.342655778,8.422504237,9.095196974,7.892672789,9.092930243
251,10935,SO_0085,9.498415927,8.785088761,9.30672387,9.522972862,9.013328577,9.711080382
252,11322,SO_0086,7.952542546,8.146687016,8.055404336,7.937070429,8.588911294,7.649420231
253,10056,SO_0087,9.284502602,9.289053412,8.66682584,9.645293488,9.394052683,9.357564275
254,5734,SO_0087,9.383380174,10.10272032,8.579510724,10.01576397,10.49298396,9.683952761
255,718,SO_0087,8.367475252,9.101291998,9.107638388,8.693353837,9.043943768,8.448461489
256,1186,SO_0088,9.5633903,9.723374784,9.498909668,9.095196974,9.417880143,9.240459275
257,10057,SO_0088,8.172414703,8.598987151,8.211859326,8.276665423,7.766457571,8.416957848
258,4039,SO_0088,8.367475252,8.247499375,8.135386428,8.63732697,9.160582799,8.720497166
259,4094,SO_0089,10.32380868,10.76819367,10.912138,11.122373,10.72353214,11.35752637
260,346,SO_0089,9.284502602,9.237753767,9.712239035,9.564879824,8.815560135,9.277475964
261,10419,SO_0089,7.565446083,8.247499375,8.455146321,8.276665423,8.850334706,8.432785566
262,12201,SO_0090,14.38367928,14.00885268,14.39781102,14.30201482,13.8248275,13.9014327
263,8798,SO_0090,6.923474737,6.983468125,7.593960701,6.929968734,7.560860641,6.757942999
264,1538,SO_0090,8.842444067,9.362852291,8.609152141,9.625596445,7.892672789,9.417536548
265,6765,SO_0091,10.99888004,10.01283299,10.59288302,11.55482409,11.6712589,11.79992578
266,1403,SO_0091,14.73239356,15.10952769,14.10397443,14.44000117,14.25525515,14.66787595
267,11234,SO_0091,7.262717512,7.983645906,8.095849285,7.450123962,8.067333699,7.524285932
268,11648,SO_0092,10.32380868,10.28034403,10.1300256,10.39558909,10.47009009,10.9215298
269,2115,SO_0092,8.010097281,7.537442756,8.055404336,7.691785458,8.27627187,7.921782906
270,4969,SO_0092,12.41339943,12.01465427,11.72463705,11.6341996,12.76967878,11.82403489
271,10420,SO_0093,8.772545742,9.362852291,8.974261896,9.150721458,10.11955522,9.287156914
272,9250,SO_0093,9.284502602,8.919479237,9.669047288,9.615648562,10.11955522,9.092930243
273,2171,SO_0093,10.46781629,10.35555086,9.898561821,10.37196074,10.05963505,9.967646667
274,2172,SO_0094,11.74855205,11.84159308,12.47911999,12.9440916,11.59371997,12.54159376
275,11401,SO_0094,9.407109507,8.63800529,9.343558967,8.915315276,8.815560135,8.554145615
276,114,SO_0095,11.10574807,11.10326027,10.28189094,9.204277494,9.073955231,8.985940587
277,9457,SO_0095,8.320790462,8.197833567,8.095849285,8.598843337,9.043943768,7.857184873
278,3466,SO_0095,10.31113911,9.849546555,9.726359535,9.389650177,10.75231275,10.08861649
279,8018,SO_0096,9.309841473,8.432659952,8.609152141,9.191065765,8.743586531,9.092930243
280,4562,SO_0096,10.8299661,10.8486697,11.12601326,11.14701018,10.2594032,10.40095342
281,11402,SO_0096,10.00029445,9.26362278,8.694892381,10.14004679,9.215692612,10.29037285
282,9458,SO_0097,10.12112476,10.01283299,10.28128989,9.564879824,9.84598522,10.12509809
283,9436,SO_0097,12.58458427,13.16680581,12.43433471,12.33195569,13.34577255,13.25771817
284,5026,SO_0097,7.952542546,7.741010033,8.355204955,8.021416269,8.743586531,7.812867196
285,6274,SO_0098,8.119955626,7.675328096,8.487146907,7.878619207,7.487711805,7.835153682
286,11579,SO_0098,7.702949688,7.465128749,7.928305199,7.556962532,7.086083617,7.472189171
287,1048,SO_0098,11.87925179,12.44179303,11.65924979,12.87087134,13.52653815,13.18251641
288,780,SO_0099,13.76274356,14.1285594,13.86609953,13.71787368,13.71185043,13.94610212
