,GENE,GSM282000,GSM282001,GSM282002
5416,SO2468F,-0.378221079,-0.27472126,-1.891542272
5417,SO2468F,-0.590744321,-0.661229334,-1.602196343
5418,SO2469,0.751451312,0.878863109,0.443527476
5419,SO2469,0.872485768,0.686200539,0.505677921
5420,SO2470,0.606919405,0.258526812,-0.260692948
5421,SO2470,0.663960934,0.390495829,0.011292116
5422,SO2471,0.671193578,0.836945179,0.081178753
5423,SO2471,0.559745311,0.197936633,0.198761343
5424,SO2472,0.508686566,0.0002045,-0.195629852
5425,SO2472,0.475472725,0.545188142,-0.096534265
5426,SO2473,1.44632115,1.518755818,0.856708679
5427,SO2473,1.389344238,1.554597776,1.135981763
5428,SO2474,0.545629061,0.428819854,0.169775713
5429,SO2474,0.608312398,0.405611799,0.037283912
5430,SO2475,-0.585202783,-0.866110396,-1.755867815
5431,SO2475,-0.242468034,-0.528766986,-1.220692262
5432,SO2475F,-0.792517681,-0.886169894,-1.426688112
5433,SO2475F,-0.723767469,-1.36020431,-1.661108626
5434,SO2476,0.741580405,0.403409812,0.011868139
5435,SO2476,0.395035776,0.590444722,0.19498887
5436,SO2476F,0.205289419,-0.063910978,-0.477545686
5437,SO2476F,0.584385307,0.069847966,-0.608136481
5438,SO2477,0.969760436,0.650475456,0.695377116
5439,SO2477,0.83572121,0.88851828,0.56240874
5440,SO2478,0.460282513,0.76133402,0.27770571
5441,SO2478,0.810866354,0.724491375,0.47150613
5442,SO2479,0.823435729,1.024343445,0.525921023
5443,SO2479,0.771845395,1.089134134,0.411031225
5444,SO2480,0.506890828,-0.089802364,0.17106651
5445,SO2480,0.476727259,0.547445253,-0.081580557
5446,SO2481,1.168204826,-1.082102377,0.827423672
5447,SO2481,0.791444265,1.225379905,0.742461747
5448,SO2481F,0.905874982,0.982612376,0.818986968
5449,SO2481F,0.874262543,1.095221312,0.293184038
5450,SO2482,-1.312537436,-0.488597623,-1.404359582
5451,SO2482,-0.794323789,-0.668445009,-1.436429406
5452,SO2482F,-0.695249433,-0.307936671,-1.086390819
5453,SO2482F,-1.527891638,-0.199608569,-1.442065952
5454,SO2483,0.66145963,0.636486677,0.364622583
5455,SO2483,0.574395279,0.517624264,0.229830913
5456,SO2484,0.682174301,0.85237494,0.507103196
5457,SO2484,0.702885124,0.617425144,0.63038233
5458,SO2485,0.319678932,0.352005881,-0.087043904
5459,SO2485,0.277958111,0.341769502,-0.085739754
5460,SO2486,-0.203724219,0.06128986,-0.446268417
5461,SO2486,-0.035781842,0.097497471,-0.539893786
5462,SO2487,0.176246803,0.156378836,-0.388272068
5463,SO2487,0.219367918,-0.115838709,-0.074133035
5464,SO2488,1.274575591,-0.002507265,-0.280629874
5465,SO2488,-0.229953491,-0.019302097,-0.34322678
5466,SO2489,0.495837824,0.43897243,0.304188486
5467,SO2489,0.361252971,0.49762596,0.144421186
5468,SO2490,0.783296388,0.779329166,0.449830001
5469,SO2490,0.626324459,0.873512321,0.630805558
5470,SO2491,0.812349706,0.556580448,0.321413331
5471,SO2491,0.591703026,0.551331342,0.096968149
5472,SO2492,0.459938251,0.681505544,-0.354755675
5473,SO2492,0.544800825,0.709614122,0.070150923
5474,SO2493,0.710599874,0.637988917,0.047327531
5475,SO2493,0.718081539,0.811032776,0.629865751
5476,SO2494,-0.02406089,0.110221861,-0.716199349
5477,SO2494,0.052235134,0.096777383,-0.651966701
