,index,ORF,GSM635111,GSM635112,GSM635113,GSM635114,GSM635115,GSM635116,GSM635117,GSM635118
1773,284,SO_0636,449.5,726.3333333,698.3333333,181.0,366.0,496.8333333,1584.0,1315.0
1774,11410,SO_0637,8362.666667,18192.33333,7586.5,7754.666667,7623.666667,11536.0,4089.666667,2770.5
1775,1239,SO_0637,3726.666667,450.6666667,9351.0,10988.16667,5009.333333,6521.666667,1836.666667,2170.0
1776,7044,SO_0637,801.5,967.6666667,264.6666667,71.33333333,203.3333333,298.6666667,797.6666667,781.3333333
1777,12361,SO_0638,2826.833333,3938.666667,6059.0,6448.666667,6818.0,7480.5,7086.166667,10600.0
1778,4185,SO_0638,810.3333333,1900.0,815.3333333,853.6666667,1326.333333,734.0,388.0,365.0
1779,7576,SO_0639,3390.0,22461.33333,2785.333333,2603.5,2770.166667,3603.666667,5261.666667,3056.666667
1780,1959,SO_0639,5488.833333,4658.0,6349.333333,5683.666667,7579.166667,9055.833333,8085.333333,8967.666667
1781,11411,SO_0639,989.0,1306.333333,1287.666667,1499.333333,1156.666667,1049.666667,537.6666667,598.5
1782,6494,SO_0640,1552.666667,2060.333333,2465.666667,1047.666667,1156.666667,1009.0,1842.166667,1240.166667
1783,2699,SO_0640,5563.333333,9186.833333,3768.666667,3732.833333,3980.0,3024.333333,5776.0,7254.833333
1784,12296,SO_0640,11505.66667,12188.66667,10203.33333,12276.33333,19137.0,15235.33333,14204.0,11545.66667
1785,11328,SO_0641,2029.333333,2676.333333,1944.0,1531.333333,1509.333333,1425.333333,3254.333333,2582.333333
1786,7379,SO_0641,913.3333333,330.6666667,264.6666667,555.0,402.3333333,761.0,640.1666667,980.3333333
1787,2808,SO_0641,4069.0,1562.5,2611.166667,3947.0,6195.666667,7397.666667,14936.0,16536.33333
1788,9852,SO_0642,11968.0,4811.166667,10203.33333,11254.33333,8937.0,16439.33333,6793.0,6935.333333
1789,1860,SO_0642,624.6666667,1224.666667,800.0,459.3333333,590.1666667,496.8333333,437.3333333,329.0
1790,5282,SO_0643,8427.833333,10743.0,16296.66667,19946.0,16871.0,24497.0,7025.5,7121.833333
1791,2548,SO_0643,3000.5,1028.833333,12829.33333,17762.33333,19345.83333,18486.0,10013.16667,7385.666667
1792,12967,SO_0643,32633.33333,44963.33333,48148.33333,48148.33333,48646.0,40875.0,36985.0,46544.66667
1793,8656,SO_0644,3594.166667,1629.666667,3490.0,4417.333333,4351.333333,4156.833333,10275.66667,8691.333333
1794,165,SO_0644,29.33333333,535.8333333,318.3333333,274.3333333,440.5,467.8333333,238.0,262.5
1795,6731,SO_0644,2596.0,5514.333333,864.0,906.3333333,1509.333333,1070.666667,669.0,296.0
1796,12212,SO_0645,4428.0,7601.0,4708.0,3947.0,3409.0,2210.666667,4633.333333,1978.333333
1797,1914,SO_0645,733.0,887.3333333,535.6666667,890.3333333,1156.666667,1479.333333,1044.166667,1409.0
1798,6095,SO_0645,245.3333333,1802.5,69.83333333,85.33333333,235.3333333,130.3333333,38.0,365.0
1799,9388,SO_0646,6607.0,29721.0,2670.333333,2296.0,2363.666667,2139.5,8762.166667,11055.16667
1800,10570,SO_0646,13610.66667,29743.83333,1960.333333,1483.666667,2123.0,1332.333333,6222.0,5746.666667
1801,4571,SO_0646,8926.333333,8144.5,4720.333333,6279.0,9305.0,8351.0,5601.833333,5038.333333
1802,3141,SO_0647,2826.833333,1802.5,1363.166667,1875.666667,1564.666667,1769.0,1663.0,1240.166667
1803,6378,SO_0647,7785.833333,13243.0,5000.166667,7446.666667,10809.0,8049.333333,12233.66667,17147.33333
1804,12646,SO_0647,12891.5,13767.66667,3170.333333,1546.333333,4262.5,2818.0,6672.333333,6715.333333
1805,2908,SO_0648,6210.666667,2230.0,5586.833333,9163.833333,10578.16667,13625.0,27692.66667,31511.33333
1806,8635,SO_0648,2846.833333,2780.5,2876.333333,3095.666667,1893.666667,2296.333333,1430.666667,2106.666667
1807,9502,SO_0648,18464.33333,11710.66667,14313.16667,19119.33333,12543.66667,18176.0,2948.666667,4799.0
1808,8389,SO_0649,6487.666667,3204.0,4306.166667,4868.833333,5730.333333,4566.666667,2401.666667,2569.0
1809,6674,SO_0649,3437.166667,10465.0,3951.666667,4354.5,5689.0,6761.833333,5408.0,6270.333333
1810,12703,SO_0649,618.6666667,1.0,1039.833333,792.6666667,477.6666667,439.3333333,1701.666667,891.5
1811,2021,SO_0650,20221.33333,36504.33333,15034.33333,13857.0,18427.5,13104.66667,58314.16667,24420.83333
1812,12485,SO_0650,15979.5,24187.66667,12350.33333,10429.66667,11100.83333,11388.66667,2865.333333,4127.333333
1813,7014,SO_0650,19550.16667,5466.333333,3951.666667,4605.333333,5365.666667,5815.0,2589.166667,3524.0
1814,12915,SO_0651,29469.66667,43269.33333,35453.33333,42258.66667,35775.0,39487.33333,33364.33333,44786.0
1815,8774,SO_0651,491.0,399.6666667,440.3333333,459.3333333,269.5,706.3333333,383.3333333,781.3333333
1816,4769,SO_0651,280.6666667,399.6666667,678.6666667,752.5,402.3333333,746.3333333,502.5,219.3333333
1817,10440,SO_0652,1041.0,2466.833333,2035.0,2603.5,2075.666667,1281.0,1884.0,1409.0
1818,7806,SO_0652,810.3333333,1161.5,1271.666667,770.0,890.6666667,897.3333333,1827.333333,1914.833333
1819,1960,SO_0652,274.1666667,952.3333333,264.6666667,540.5,761.5,867.0,813.0,1617.5
