SO_0001,{'GO_0010181'}
SO_0145,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0146,"{'GO_0006313', 'GO_0016020', 'GO_0003677', 'GO_0004803'}"
SO_0147,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0148,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0149,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0150,"{'GO_0008150', 'GO_0003674', 'GO_0016020'}"
SO_0151,"{'GO_0008150', 'GO_0008168', 'GO_0003674', 'GO_0032259', 'GO_0005575'}"
SO_0152,"{'GO_0008150', 'GO_0006508', 'GO_0005615', 'GO_0004180', 'GO_0003674', 'GO_0004181', 'GO_0008270', 'GO_0005575'}"
SO_0154,"{'GO_0008150', 'GO_0055085', 'GO_0022857', 'GO_0005886', 'GO_0003674', 'GO_0005575'}"
SO_0157,"{'GO_0055085', 'GO_0022857', 'GO_0015293', 'GO_0005886', 'GO_0006835', 'GO_0016020'}"
SO_0159,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0160,"{'GO_0015814', 'GO_1902604', 'GO_0016020', 'GO_0015558'}"
SO_0162,"{'GO_0004612', 'GO_0006094', 'GO_0005737', 'GO_0016831', 'GO_0046872', 'GO_0005829', 'GO_0005524'}"
SO_0163,"{'GO_0044183', 'GO_0042026', 'GO_0051082', 'GO_0005737', 'GO_0006457'}"
SO_0164,"{'GO_0043023', 'GO_0034605', 'GO_0003677', 'GO_0003727', 'GO_0003723'}"
SO_0165,"{'GO_0005886', 'GO_0015627', 'GO_0015628'}"
SO_0166,"{'GO_0015627', 'GO_0015031', 'GO_0019867', 'GO_0009279', 'GO_0009306', 'GO_0015628'}"
SO_0167,"{'GO_0015627', 'GO_0015031', 'GO_0005886', 'GO_0046872', 'GO_0016887', 'GO_0015628', 'GO_0005524'}"
SO_0168,"{'GO_0015627', 'GO_0015628', 'GO_0005886', 'GO_0046872', 'GO_0016020'}"
SO_0169,"{'GO_0005886', 'GO_0015627', 'GO_0015628'}"
SO_0170,"{'GO_0005886', 'GO_0015627', 'GO_0015628'}"
SO_0171,"{'GO_0005886', 'GO_0015627', 'GO_0015628'}"
SO_0172,"{'GO_0005886', 'GO_0015627', 'GO_0015628'}"
SO_0173,"{'GO_0005886', 'GO_0016020', 'GO_0015031', 'GO_0009306'}"
SO_0174,"{'GO_0015627', 'GO_0015031', 'GO_0005886', 'GO_0009276', 'GO_0015628'}"
SO_0175,"{'GO_0005886', 'GO_0015627', 'GO_0015628', 'GO_0015031'}"
SO_0176,"{'GO_0005886', 'GO_0015627', 'GO_0015628', 'GO_0015031'}"
SO_0177,{'GO_0016787'}
SO_0179,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0180,"{'GO_0051213', 'GO_0008150', 'GO_0008168', 'GO_0003674', 'GO_0032259', 'GO_0005575'}"
SO_0181,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0182,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0183,"{'GO_0016747', 'GO_0008150'}"
SO_0184,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0185,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0186,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0187,"{'GO_0006508', 'GO_0008236', 'GO_0004252'}"
SO_0188,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0189,"{'GO_0008150', 'GO_0005886', 'GO_0003674', 'GO_0007156', 'GO_0016020', 'GO_0005509'}"
SO_0190,"{'GO_0019693', 'GO_0019144', 'GO_0016787', 'GO_0006753', 'GO_0005829'}"
SO_0192,"{'GO_0016747', 'GO_0008150'}"
SO_0193,{'GO_0003677'}
SO_0194,"{'GO_0008150', 'GO_0055085', 'GO_0016874', 'GO_0022857', 'GO_0016740', 'GO_0008922', 'GO_0006654', 'GO_0003841', 'GO_0016020', 'GO_0016746'}"
SO_0195,"{'GO_0008150', 'GO_0002098', 'GO_0016740', 'GO_0003674', 'GO_0016765', 'GO_0043828'}"
SO_0197,"{'GO_0004768', 'GO_0016491', 'GO_0016717', 'GO_0006629', 'GO_0016020', 'GO_0006631'}"
SO_0198,{'GO_0003677'}
SO_0202,"{'GO_0008150', 'GO_0003674', 'GO_0016020', 'GO_0005575'}"
SO_0203,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0204,"{'GO_0008150', 'GO_0003674', 'GO_0005575'}"
SO_0206,"{'GO_0019843', 'GO_0008033', 'GO_0008168', 'GO_0000049', 'GO_0032259', 'GO_0030697', 'GO_0006396', 'GO_0005829', 'GO_0030488'}"
SO_0207,"{'GO_0016853', 'GO_0008360', 'GO_0009252', 'GO_0071555', 'GO_0008881'}"
SO_0208,"{'GO_0008150', 'GO_0016020', 'GO_0003723'}"
SO_0213,"{'GO_0071949', 'GO_0008360', 'GO_0050660', 'GO_0008762', 'GO_0016491', 'GO_0009252', 'GO_0051301', 'GO_0071555', 'GO_0005737', 'GO_0005829'}"
SO_0214,"{'GO_0016874', 'GO_0004077', 'GO_0006355', 'GO_0003677', 'GO_0005737', 'GO_0036211', 'GO_0005524'}"
SO_0215,"{'GO_0004594', 'GO_0015937', 'GO_0016301', 'GO_0005737', 'GO_0005524'}"
SO_0217,"{'GO_0005525', 'GO_0003924', 'GO_0097216', 'GO_0006412', 'GO_0005737', 'GO_0003746', 'GO_0006414'}"
SO_0218,"{'GO_0006605', 'GO_0015031', 'GO_0008320', 'GO_0005886', 'GO_0065002', 'GO_0006886', 'GO_0009306', 'GO_0043952', 'GO_0016020'}"
SO_0219,"{'GO_0140673', 'GO_0032784', 'GO_0006353', 'GO_0031564', 'GO_0006354', 'GO_0005829'}"
SO_0220,"{'GO_0019843', 'GO_0022625', 'GO_0003735', 'GO_0006412', 'GO_0005840', 'GO_1990904', 'GO_0070180'}"
SO_0221,"{'GO_0019843', 'GO_0022625', 'GO_0003735', 'GO_0000049', 'GO_0006412', 'GO_0005840', 'GO_0015934', 'GO_0006417', 'GO_0003723', 'GO_1990904'}"
SO_0222,"{'GO_0019843', 'GO_0022625', 'GO_0003735', 'GO_0006412', 'GO_0015934', 'GO_0005840', 'GO_1990904', 'GO_0070180'}"
SO_0223,"{'GO_0003729', 'GO_0022625', 'GO_0003735', 'GO_0006412', 'GO_0005840', 'GO_0005737', 'GO_1990904'}"
SO_0224,"{'GO_0034062', 'GO_0016779', 'GO_0006351', 'GO_0003899', 'GO_0000428', 'GO_0003677', 'GO_0032549'}"
SO_0225,"{'GO_0016779', 'GO_0034062', 'GO_0006351', 'GO_0003899', 'GO_0000428', 'GO_0003677', 'GO_0046872', 'GO_0000287', 'GO_0008270'}"
SO_0226,"{'GO_0019843', 'GO_0015935', 'GO_0003735', 'GO_0000049', 'GO_0006412', 'GO_0005840', 'GO_1990904'}"
SO_0227,"{'GO_0003729', 'GO_0022627', 'GO_0019843', 'GO_0000028', 'GO_0015935', 'GO_0003735', 'GO_0000049', 'GO_0006412', 'GO_0005840', 'GO_0003723', 'GO_1990904'}"
SO_0228,"{'GO_0005525', 'GO_0003924', 'GO_0097216', 'GO_0006412', 'GO_0032790', 'GO_0003746', 'GO_0006414', 'GO_0005737', 'GO_0005829'}"
SO_0229,"{'GO_0005525', 'GO_0003924', 'GO_0097216', 'GO_0006412', 'GO_0005737', 'GO_0003746', 'GO_0006414'}"
SO_0230,"{'GO_0015935', 'GO_0003735', 'GO_0000049', 'GO_0006412', 'GO_0005840', 'GO_0003723', 'GO_1990904'}"
SO_0231,"{'GO_0019843', 'GO_0022625', 'GO_0003735', 'GO_0006412', 'GO_0005840', 'GO_1990904'}"
SO_0232,"{'GO_0019843', 'GO_0003735', 'GO_0006412', 'GO_0005840', 'GO_1990904'}"
SO_0233,"{'GO_0000027', 'GO_0019843', 'GO_0022625', 'GO_0003735', 'GO_0006412', 'GO_0005840', 'GO_1990904'}"
SO_0234,"{'GO_0002181', 'GO_0019843', 'GO_0022625', 'GO_0003735', 'GO_0016740', 'GO_0006412', 'GO_0015934', 'GO_0005840', 'GO_0003723', 'GO_1990904'}"
SO_0235,"{'GO_0022627', 'GO_0019843', 'GO_0043229', 'GO_0000028', 'GO_0015935', 'GO_0003735', 'GO_0006412', 'GO_0005840', 'GO_0005737', 'GO_0003723', 'GO_1990904'}"
SO_0236,"{'GO_0019843', 'GO_0022625', 'GO_0003735', 'GO_0006412', 'GO_0015934', 'GO_0005840', 'GO_1990904'}"
SO_0237,"{'GO_0003729', 'GO_0022627', 'GO_0019843', 'GO_0003735', 'GO_0006412', 'GO_0005840', 'GO_0003723', 'GO_1990904'}"
SO_0238,"{'GO_0019843', 'GO_0022625', 'GO_0003735', 'GO_0000049', 'GO_0006412', 'GO_0005840', 'GO_1990904'}"
SO_0239,"{'GO_0022625', 'GO_0003735', 'GO_0006412', 'GO_0005840', 'GO_1990904'}"
SO_0240,"{'GO_0022627', 'GO_0019843', 'GO_0003735', 'GO_0006412', 'GO_0005840', 'GO_1990904'}"
SO_0241,"{'GO_0019843', 'GO_0022625', 'GO_0003735', 'GO_0006412', 'GO_0015934', 'GO_0005840', 'GO_1990904', 'GO_0070180'}"
SO_0242,"{'GO_0019843', 'GO_0022625', 'GO_0003735', 'GO_0006412', 'GO_0005840', 'GO_0003723', 'GO_1990904'}"
