subject,predicate,object
GO_0009987,oboInOwl#hasAlternativeId,GO:0008151
GO_0006754,oboInOwl#hasAlternativeId,GO:0006759
GO_0035514,rdf-schema#subClassOf,GO_0032451
GO_0051382,oboInOwl#hasAlternativeId,GO:0044768
GO_0046365,rdf-schema#subClassOf,GO_0016052
N309b5467eb90482e9b5d2835390efd00,owl#onProperty,RO_0002211
GO_0006073,IAO_0100001,GO:0044042
GO_0003735,oboInOwl#hasAlternativeId,GO:0003740
GO_0009250,rdf-schema#subClassOf,GO_0000271
N65cbaa28105546d8817c2e57558cd666,22-rdf-syntax-ns#first,Ndd562863c3864be7b5f44cfe8256abc4
GO_0004637,rdf-schema#subClassOf,GO_0016879
GO_0019221,rdf-schema#subClassOf,GO_0007166
GO_1901988,rdf-schema#subClassOf,N6f3bad3e51fb425e8e5210156149e324
N84b8a112b37944fabeb145e9f9e8b21a,owl#intersectionOf,N0d98741760994ab5baacca1594d9a804
GO_0044403,rdf-schema#subClassOf,GO_0044419
GO_0001678,rdf-schema#subClassOf,GO_0055082
GO_0071467,rdf-schema#subClassOf,GO_0009268
N083ecd3372024b5cae817c526d75ce19,owl#intersectionOf,Ndda440159f2f4afca044dc4cab69fc23
GO_0007342,rdf-schema#subClassOf,GO_0045026
GO_0034332,rdf-schema#subClassOf,GO_0045216
GO_0005618,oboInOwl#inSubset,go#goslim_plant_ribbon
GO_1902757,rdf-schema#subClassOf,GO_0009117
GO_0046263,rdf-schema#subClassOf,GO_0072491
Ncd67be7346a04fa7ad57a8753782e4a2,22-rdf-syntax-ns#first,N33a1794bb32b4394a53650c7d7eb85b0
N02e2106ce6c24394a8294a20bd8fafa1,22-rdf-syntax-ns#rest,N73d3364d54a04b218bf0491e590628d7
N330bd9a5af6544f6a41f224389a10474,owl#onProperty,RO_0002212
GO_0019897,rdf-schema#subClassOf,GO_0019898
N1049715c5ac04127b2248ea8ae179002,owl#onProperty,BFO_0000050
N182aa69fdc35483490abbacfb099232b,owl#someValuesFrom,GO_0048745
GO_0010795,rdf-schema#subClassOf,N79ff57c3aa9349958441736048c78415
GO_0009405,oboInOwl#consider,GO:0052031
GO_0006270,rdf-schema#subClassOf,GO_0006259
GO_0006497,rdf-schema#subClassOf,GO_0036211
GO_0045278,owl#equivalentClass,N599cdf9f88474a60944b159f4d9c8141
GO_0008990,rdf-schema#subClassOf,GO_0016435
GO_1990777,rdf-schema#subClassOf,GO_0032994
GO_0009313,rdf-schema#subClassOf,GO_0016052
GO_0052652,rdf-schema#subClassOf,GO_0009187
GO_0097159,rdf-schema#subClassOf,GO_0005488
GO_1902495,rdf-schema#subClassOf,GO_0098796
