0,1
SO_0020,"{'GO_0016042', 'GO_0006631', 'GO_0016747', 'GO_0003988', 'GO_0016746', 'GO_0010124', 'GO_0005737', 'GO_0006635'}"
SO_0021,"{'GO_0044248', 'GO_0008692', 'GO_0016042', 'GO_0006631', 'GO_0003857', 'GO_0070403', 'GO_0016829', 'GO_0004165', 'GO_0036125', 'GO_0004300', 'GO_0016853', 'GO_0006635', 'GO_0009062', 'GO_0016509', 'GO_0016491'}"
SO_0022,"{'GO_0005829', 'GO_0006508', 'GO_0016795', 'GO_0004177', 'GO_0016805', 'GO_0102009', 'GO_0008237', 'GO_0046872', 'GO_0008235'}"
SO_0024,"{'GO_0071805', 'GO_0030001', 'GO_0005886', 'GO_0046872', 'GO_0016020', 'GO_0006813', 'GO_0015379'}"
SO_0025,"{'GO_0070819', 'GO_0005886', 'GO_0006779', 'GO_0004729', 'GO_0000166', 'GO_0006783', 'GO_0006782', 'GO_0010181', 'GO_0016491'}"
SO_0027,"{'GO_0070819', 'GO_0005886', 'GO_0006779', 'GO_0004729', 'GO_0000166', 'GO_0006783', 'GO_0006782', 'GO_0009055', 'GO_0010181', 'GO_0016491'}"
SO_0028,"{'GO_0071805', 'GO_0030001', 'GO_0005886', 'GO_0046872', 'GO_0016020', 'GO_0006813', 'GO_0015379'}"
SO_0029,"{'GO_0071805', 'GO_0015079', 'GO_0005886', 'GO_0006813'}"
SO_0030,"{'GO_0005829', 'GO_0008168', 'GO_0032259', 'GO_0006355', 'GO_0008649', 'GO_0009383', 'GO_0070475', 'GO_0042254', 'GO_0001510', 'GO_0005737', 'GO_0003723', 'GO_0006364'}"
SO_0031,"{'GO_0005829', 'GO_0071951', 'GO_0006412', 'GO_0009058', 'GO_0004479', 'GO_0006413', 'GO_0019988', 'GO_0016740'}"
SO_0032,"{'GO_0043686', 'GO_0006412', 'GO_0046872', 'GO_0016787', 'GO_0042586'}"
SO_0036,"{'GO_0006265', 'GO_0003677', 'GO_0003917', 'GO_0005694'}"
SO_0037,"{'GO_0003725', 'GO_0002949', 'GO_0016779', 'GO_0006450', 'GO_0008033', 'GO_0005524', 'GO_0000049', 'GO_0005737', 'GO_0061710'}"
SO_0038,"{'GO_0006779', 'GO_0004109', 'GO_0042803', 'GO_0046872', 'GO_0006783', 'GO_0006782', 'GO_0005737', 'GO_0016491'}"
SO_0039,"{'GO_0015671', 'GO_0005344', 'GO_0020037', 'GO_0019825'}"
SO_0040,"{'GO_0005829', 'GO_0004764', 'GO_0009423', 'GO_0019632', 'GO_0050661', 'GO_0008652', 'GO_0009073', 'GO_0016491'}"
SO_0045,"{'GO_0005829', 'GO_0003700', 'GO_0006355'}"
SO_0047,"{'GO_0006508', 'GO_0004175', 'GO_0008236', 'GO_0007165', 'GO_0004252', 'GO_0030288'}"
SO_0052,"{'GO_0006457', 'GO_0051262', 'GO_0051082', 'GO_0015031', 'GO_0005737'}"
SO_0053,"{'GO_0005829', 'GO_0046168', 'GO_0051287', 'GO_0046474', 'GO_0006072', 'GO_0006650', 'GO_0046167', 'GO_0000166', 'GO_0141153', 'GO_0047952', 'GO_0005737', 'GO_0005975', 'GO_0008654', 'GO_0016616', 'GO_0016491'}"
SO_0057,"{'GO_0071805', 'GO_0030001', 'GO_0005886', 'GO_0016020', 'GO_0006813', 'GO_0015379'}"
SO_0059,"{'GO_0005829', 'GO_0000156', 'GO_0000976', 'GO_0006355', 'GO_0003677', 'GO_0000160', 'GO_0032993', 'GO_0034220'}"
SO_0060,"{'GO_0000155', 'GO_0016301', 'GO_0000160', 'GO_0016020', 'GO_0007165', 'GO_0004673', 'GO_0034220'}"
SO_0061,"{'GO_0006508', 'GO_0016020', 'GO_0008234'}"
SO_0063,"{'GO_0005829', 'GO_0004674', 'GO_0016740'}"
SO_0067,"{'GO_0006508', 'GO_0004180', 'GO_0046677', 'GO_0008955', 'GO_0008658', 'GO_0009252'}"
SO_0068,"{'GO_0016020', 'GO_0006355', 'GO_0009271'}"
SO_0069,"{'GO_0005886', 'GO_0016020', 'GO_0055085', 'GO_0140359'}"
SO_0070,"{'GO_0009877', 'GO_0016887', 'GO_0005524'}"
SO_0071,"{'GO_0006508', 'GO_0008233', 'GO_0016787'}"
SO_0075,"{'GO_0016874', 'GO_0004467', 'GO_0001676', 'GO_0016405'}"
SO_0081,"{'GO_0016846', 'GO_0046872', 'GO_0016829', 'GO_0051907'}"
SO_0082,"{'GO_0003677', 'GO_0003700', 'GO_0006355'}"
SO_0084,"{'GO_0043716', 'GO_0019509', 'GO_0000287', 'GO_0043715', 'GO_0043874', 'GO_0019284', 'GO_0046872', 'GO_0016787', 'GO_0009086'}"
SO_0091,"{'GO_0005829', 'GO_0003700', 'GO_0006355'}"
SO_0092,"{'GO_0005829', 'GO_0042278', 'GO_0009164', 'GO_0004731', 'GO_0016757', 'GO_0006152', 'GO_0009116'}"
SO_0093,"{'GO_0005886', 'GO_1901642', 'GO_0016020', 'GO_0015293', 'GO_0005337'}"
SO_0095,"{'GO_0016812', 'GO_0008270', 'GO_0006547', 'GO_0019557', 'GO_0046872', 'GO_0016787', 'GO_0050480', 'GO_0005737', 'GO_0019556', 'GO_0006548', 'GO_0005506'}"
SO_0096,"{'GO_0003700', 'GO_0045892', 'GO_0006355', 'GO_0006547', 'GO_0003677'}"
SO_0097,"{'GO_0016153', 'GO_0006547', 'GO_0016829', 'GO_0019557', 'GO_0005737', 'GO_0019556', 'GO_0006548'}"
SO_0098,"{'GO_0016841', 'GO_0006547', 'GO_0016829', 'GO_0004397', 'GO_0019557', 'GO_0005737', 'GO_0019556', 'GO_0006548'}"
SO_0101,"{'GO_0045333', 'GO_0051539', 'GO_0008863', 'GO_0047111', 'GO_0009061', 'GO_0043546', 'GO_0046872', 'GO_0009055', 'GO_0030151', 'GO_0016491'}"
SO_0102,"{'GO_0045333', 'GO_0051539', 'GO_0015944', 'GO_0005886', 'GO_0046872', 'GO_0016020', 'GO_0016491'}"
SO_0103,"{'GO_0045333', 'GO_0015944', 'GO_0008863', 'GO_0009326', 'GO_0009061', 'GO_0005886', 'GO_0016020', 'GO_0071944', 'GO_0036397', 'GO_0009055', 'GO_0022904', 'GO_0016491'}"
SO_0104,"{'GO_0005829', 'GO_0005737', 'GO_0008199', 'GO_0051604'}"
SO_0105,"{'GO_0001514', 'GO_0006412', 'GO_0005737', 'GO_0004125', 'GO_0016740'}"
SO_0106,"{'GO_0001514', 'GO_0006414', 'GO_0016259', 'GO_0005525', 'GO_0006412', 'GO_0003924', 'GO_0000049', 'GO_0035368', 'GO_0005737', 'GO_0003723', 'GO_0003746'}"
SO_0107,"{'GO_0005737', 'GO_0097163', 'GO_0016783', 'GO_0006777'}"
SO_0110,"{'GO_0006508', 'GO_0004222', 'GO_0009289', 'GO_0005886', 'GO_0008237', 'GO_0016020', 'GO_0046872', 'GO_0007155'}"
SO_0115,"{'GO_0004803', 'GO_0003677', 'GO_0006313'}"
SO_0116,"{'GO_0004803', 'GO_0003677', 'GO_0006313'}"
SO_0121,"{'GO_0005886', 'GO_0055085', 'GO_0071470', 'GO_0016020', 'GO_0008381', 'GO_0034220'}"
SO_0122,"{'GO_0005886', 'GO_0042970', 'GO_0016020', 'GO_0042968', 'GO_0006865'}"
SO_0123,"{'GO_0003841', 'GO_0016746', 'GO_0006654'}"
SO_0130,"{'GO_0006508', 'GO_0008233', 'GO_0005576', 'GO_0046872', 'GO_0008237'}"
SO_0131,"{'GO_0005829', 'GO_0042866', 'GO_0008813', 'GO_0006744', 'GO_0005737', 'GO_0016829'}"
SO_0132,"{'GO_0009425', 'GO_0097588', 'GO_0005886', 'GO_0071978', 'GO_0071973', 'GO_0006935'}"
SO_0134,"{'GO_0008168', 'GO_0032259', 'GO_0070475', 'GO_0008988', 'GO_0052907', 'GO_0005737', 'GO_0006364'}"
SO_0137,"{'GO_0004792', 'GO_0005829', 'GO_0006777', 'GO_0016779', 'GO_0008641', 'GO_0005737', 'GO_0008146'}"
SO_0138,"{'GO_0005829', 'GO_0061599', 'GO_0006777', 'GO_0046872', 'GO_0005737', 'GO_0016740'}"
SO_0139,"{'GO_0005829', 'GO_0006826', 'GO_0008198', 'GO_0008199', 'GO_0006879', 'GO_0046872', 'GO_0006880', 'GO_0004322', 'GO_0005737'}"
SO_0141,"{'GO_0052621', 'GO_0016020', 'GO_0007165', 'GO_0016779'}"
SO_0144,"{'GO_0004252', 'GO_0006508', 'GO_0016787'}"
SO_0146,"{'GO_0004803', 'GO_0003677', 'GO_0006313', 'GO_0016020'}"
SO_0152,"{'GO_0006508', 'GO_0004181', 'GO_0004180', 'GO_0005615', 'GO_0008270'}"
SO_0154,"{'GO_0005886', 'GO_0055085', 'GO_0022857'}"
SO_0157,"{'GO_0022857', 'GO_0005886', 'GO_0055085', 'GO_0016020', 'GO_0006835', 'GO_0015293'}"
SO_0160,"{'GO_1902604', 'GO_0015558', 'GO_0016020', 'GO_0015814'}"
SO_0162,"{'GO_0005829', 'GO_0016831', 'GO_0004612', 'GO_0046872', 'GO_0006094', 'GO_0005524', 'GO_0005737'}"
SO_0163,"{'GO_0044183', 'GO_0006457', 'GO_0042026', 'GO_0051082', 'GO_0005737'}"
SO_0164,"{'GO_0003727', 'GO_0043023', 'GO_0003677', 'GO_0034605', 'GO_0003723'}"
SO_0165,"{'GO_0015628', 'GO_0005886', 'GO_0015627'}"
SO_0166,"{'GO_0015628', 'GO_0019867', 'GO_0009306', 'GO_0015627', 'GO_0015031', 'GO_0009279'}"
SO_0167,"{'GO_0015628', 'GO_0005886', 'GO_0016887', 'GO_0015627', 'GO_0046872', 'GO_0015031', 'GO_0005524'}"
SO_0168,"{'GO_0015628', 'GO_0005886', 'GO_0015627', 'GO_0046872', 'GO_0016020'}"
SO_0169,"{'GO_0015628', 'GO_0005886', 'GO_0015627'}"
SO_0170,"{'GO_0015628', 'GO_0005886', 'GO_0015627'}"
SO_0171,"{'GO_0015628', 'GO_0005886', 'GO_0015627'}"
SO_0172,"{'GO_0015628', 'GO_0005886', 'GO_0015627'}"
SO_0173,"{'GO_0005886', 'GO_0009306', 'GO_0015031', 'GO_0016020'}"
SO_0174,"{'GO_0015628', 'GO_0005886', 'GO_0015627', 'GO_0009276', 'GO_0015031'}"
SO_0175,"{'GO_0015628', 'GO_0005886', 'GO_0015031', 'GO_0015627'}"
SO_0176,"{'GO_0015628', 'GO_0005886', 'GO_0015031', 'GO_0015627'}"
SO_0180,"{'GO_0051213', 'GO_0008168', 'GO_0032259'}"
SO_0187,"{'GO_0004252', 'GO_0006508', 'GO_0008236'}"
SO_0189,"{'GO_0007156', 'GO_0005886', 'GO_0016020', 'GO_0005509'}"
SO_0190,"{'GO_0005829', 'GO_0019693', 'GO_0006753', 'GO_0016787', 'GO_0019144'}"
SO_0194,"{'GO_0022857', 'GO_0006654', 'GO_0003841', 'GO_0055085', 'GO_0016746', 'GO_0016874', 'GO_0016020', 'GO_0008922', 'GO_0016740'}"
SO_0195,"{'GO_0002098', 'GO_0016765', 'GO_0043828', 'GO_0016740'}"
SO_0197,"{'GO_0006631', 'GO_0006629', 'GO_0004768', 'GO_0016717', 'GO_0016020', 'GO_0016491'}"
SO_0206,"{'GO_0005829', 'GO_0008168', 'GO_0019843', 'GO_0032259', 'GO_0008033', 'GO_0006396', 'GO_0030697', 'GO_0030488', 'GO_0000049'}"
SO_0207,"{'GO_0008881', 'GO_0071555', 'GO_0008360', 'GO_0016853', 'GO_0009252'}"
SO_0213,"{'GO_0005829', 'GO_0051301', 'GO_0008762', 'GO_0071949', 'GO_0071555', 'GO_0008360', 'GO_0050660', 'GO_0005737', 'GO_0009252', 'GO_0016491'}"
SO_0214,"{'GO_0006355', 'GO_0003677', 'GO_0016874', 'GO_0005524', 'GO_0036211', 'GO_0005737', 'GO_0004077'}"
SO_0215,"{'GO_0016301', 'GO_0015937', 'GO_0005524', 'GO_0004594', 'GO_0005737'}"
SO_0217,"{'GO_0097216', 'GO_0006414', 'GO_0005525', 'GO_0006412', 'GO_0003924', 'GO_0005737', 'GO_0003746'}"
SO_0218,"{'GO_0006886', 'GO_0006605', 'GO_0008320', 'GO_0065002', 'GO_0043952', 'GO_0005886', 'GO_0009306', 'GO_0015031', 'GO_0016020'}"
SO_0219,"{'GO_0005829', 'GO_0032784', 'GO_0006353', 'GO_0031564', 'GO_0140673', 'GO_0006354'}"
SO_0220,"{'GO_0019843', 'GO_0070180', 'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0022625', 'GO_0005840'}"
SO_0221,"{'GO_0019843', 'GO_0015934', 'GO_1990904', 'GO_0003735', 'GO_0006417', 'GO_0006412', 'GO_0000049', 'GO_0022625', 'GO_0003723', 'GO_0005840'}"
SO_0222,"{'GO_0019843', 'GO_0070180', 'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0022625', 'GO_0015934', 'GO_0005840'}"
SO_0223,"{'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0022625', 'GO_0003729', 'GO_0005737', 'GO_0005840'}"
SO_0224,"{'GO_0006351', 'GO_0016779', 'GO_0000428', 'GO_0003677', 'GO_0034062', 'GO_0003899', 'GO_0032549'}"
SO_0225,"{'GO_0006351', 'GO_0000287', 'GO_0016779', 'GO_0000428', 'GO_0003677', 'GO_0034062', 'GO_0046872', 'GO_0003899', 'GO_0008270'}"
SO_0226,"{'GO_0019843', 'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0015935', 'GO_0000049', 'GO_0005840'}"
SO_0227,"{'GO_0019843', 'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0000028', 'GO_0015935', 'GO_0000049', 'GO_0003729', 'GO_0022627', 'GO_0003723', 'GO_0005840'}"
SO_0228,"{'GO_0005829', 'GO_0097216', 'GO_0006414', 'GO_0032790', 'GO_0005525', 'GO_0006412', 'GO_0003924', 'GO_0005737', 'GO_0003746'}"
SO_0229,"{'GO_0097216', 'GO_0006414', 'GO_0005525', 'GO_0006412', 'GO_0003924', 'GO_0005737', 'GO_0003746'}"
SO_0230,"{'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0015935', 'GO_0000049', 'GO_0003723', 'GO_0005840'}"
SO_0231,"{'GO_0019843', 'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0022625', 'GO_0005840'}"
SO_0232,"{'GO_0019843', 'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0005840'}"
SO_0233,"{'GO_0019843', 'GO_1990904', 'GO_0003735', 'GO_0000027', 'GO_0006412', 'GO_0022625', 'GO_0005840'}"
SO_0234,"{'GO_0019843', 'GO_0015934', 'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0002181', 'GO_0022625', 'GO_0003723', 'GO_0005840', 'GO_0016740'}"
SO_0235,"{'GO_0019843', 'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0000028', 'GO_0015935', 'GO_0005737', 'GO_0022627', 'GO_0003723', 'GO_0043229', 'GO_0005840'}"
SO_0236,"{'GO_0019843', 'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0022625', 'GO_0015934', 'GO_0005840'}"
SO_0237,"{'GO_0019843', 'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0003729', 'GO_0022627', 'GO_0003723', 'GO_0005840'}"
SO_0238,"{'GO_0019843', 'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0000049', 'GO_0022625', 'GO_0005840'}"
SO_0239,"{'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0022625', 'GO_0005840'}"
SO_0240,"{'GO_0019843', 'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0022627', 'GO_0005840'}"
SO_0241,"{'GO_0019843', 'GO_0070180', 'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0022625', 'GO_0015934', 'GO_0005840'}"
SO_0242,"{'GO_0019843', 'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0022625', 'GO_0003723', 'GO_0005840'}"
SO_0243,"{'GO_0019843', 'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0000049', 'GO_0022625', 'GO_0003723', 'GO_0005840'}"
SO_0244,"{'GO_0019843', 'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0015935', 'GO_0005737', 'GO_0043229', 'GO_0005840'}"
SO_0245,"{'GO_0019843', 'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0005737', 'GO_0022627', 'GO_0043229', 'GO_0005840'}"
SO_0246,"{'GO_0019843', 'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0002181', 'GO_0022625', 'GO_0005840'}"
SO_0247,"{'GO_0019843', 'GO_0008097', 'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0022625', 'GO_0005737', 'GO_0043229', 'GO_0005840'}"
SO_0248,"{'GO_0019843', 'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0015935', 'GO_0005737', 'GO_0022627', 'GO_0003723', 'GO_0043229', 'GO_0005840'}"
SO_0249,"{'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0022625', 'GO_0015934', 'GO_0005840'}"
SO_0250,"{'GO_0019843', 'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0022625', 'GO_0015934', 'GO_0005840'}"
SO_0251,"{'GO_0006605', 'GO_0008320', 'GO_0065002', 'GO_0043952', 'GO_0005886', 'GO_0031522', 'GO_0006616', 'GO_0015031', 'GO_0016020', 'GO_0005048'}"
SO_0252,"{'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0005737', 'GO_0043229', 'GO_0005840'}"
SO_0253,"{'GO_0005829', 'GO_0019843', 'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0015935', 'GO_0000049', 'GO_0003723', 'GO_0005840'}"
SO_0254,"{'GO_0019843', 'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0022627', 'GO_0005840'}"
SO_0255,"{'GO_0019843', 'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0015935', 'GO_0042274', 'GO_0005840'}"
SO_0256,"{'GO_0006351', 'GO_0016779', 'GO_0000428', 'GO_0003677', 'GO_0034062', 'GO_0046983', 'GO_0003899', 'GO_0005737'}"
SO_0257,"{'GO_1990904', 'GO_0003735', 'GO_0006412', 'GO_0022625', 'GO_0005840'}"
SO_0259,"{'GO_0046872', 'GO_0020037', 'GO_0005886', 'GO_0017004'}"
SO_0260,"{'GO_1903607', 'GO_0005886', 'GO_0016020', 'GO_0017004', 'GO_0015886'}"
SO_0261,"{'GO_0015232', 'GO_0005886', 'GO_0020037', 'GO_0016020', 'GO_0017004', 'GO_0015886'}"
SO_0262,"{'GO_0015232', 'GO_1903607', 'GO_0005886', 'GO_0016020', 'GO_0017004', 'GO_0015886'}"
SO_0263,"{'GO_0022857', 'GO_0005886', 'GO_0035351', 'GO_0016887', 'GO_0055085', 'GO_0005524', 'GO_0017004', 'GO_0015439'}"
SO_0264,"{'GO_0046872', 'GO_0009055', 'GO_0020037', 'GO_0005506'}"
SO_0265,"{'GO_0005886', 'GO_0016020', 'GO_0017004'}"
SO_0266,"{'GO_0015232', 'GO_0005886', 'GO_0020037', 'GO_0016020', 'GO_0017004', 'GO_0015886'}"
SO_0267,"{'GO_0005886', 'GO_0017004', 'GO_0015036', 'GO_0030288'}"
SO_0268,"{'GO_0046872', 'GO_0005886', 'GO_0016020'}"
SO_0269,"{'GO_0098869', 'GO_0016209', 'GO_0015036', 'GO_0016491'}"
SO_0272,"{'GO_0019363', 'GO_0019159', 'GO_0016787'}"
SO_0274,"{'GO_0005829', 'GO_0006099', 'GO_0000287', 'GO_0015977', 'GO_0016829', 'GO_0008964', 'GO_0006107'}"
SO_0275,"{'GO_0051287', 'GO_0070401', 'GO_0006526', 'GO_0005737', 'GO_0003942', 'GO_0016491'}"
SO_0276,"{'GO_0016301', 'GO_0042450', 'GO_0006526', 'GO_0005524', 'GO_0003991', 'GO_0005737'}"
SO_0277,"{'GO_0019240', 'GO_0016597', 'GO_0042450', 'GO_0004585', 'GO_0006591', 'GO_0006526', 'GO_0005737', 'GO_0016740'}"
SO_0278,"{'GO_0000050', 'GO_0004055', 'GO_0000053', 'GO_0016874', 'GO_0006526', 'GO_0005524', 'GO_0005737'}"
SO_0279,"{'GO_0004056', 'GO_0005829', 'GO_0042450', 'GO_0006526', 'GO_0005737', 'GO_0016829'}"
SO_0280,"{'GO_0006508', 'GO_0004180', 'GO_0046677', 'GO_0009002', 'GO_0005886', 'GO_0008955', 'GO_0008658', 'GO_0016757', 'GO_0009252'}"
SO_0282,"{'GO_0043683', 'GO_0016020', 'GO_0043107'}"
SO_0283,"{'GO_0043683', 'GO_0016020', 'GO_0043107'}"
SO_0285,"{'GO_0019867', 'GO_0009279', 'GO_0009306', 'GO_0016020'}"
SO_0286,"{'GO_0005829', 'GO_0016301', 'GO_0000287', 'GO_0009073', 'GO_0009423', 'GO_0019752', 'GO_0004765', 'GO_0046872', 'GO_0005524', 'GO_0008652', 'GO_0005737'}"
SO_0287,"{'GO_0003856', 'GO_0009073', 'GO_0009423', 'GO_0000166', 'GO_0046872', 'GO_0008652', 'GO_0005737', 'GO_0016829'}"
SO_0288,"{'GO_0016887', 'GO_0042834', 'GO_0051301'}"
SO_0289,"{'GO_0009307', 'GO_0006298', 'GO_0008168', 'GO_0032259', 'GO_0009007', 'GO_0003676', 'GO_1904047', 'GO_0043565'}"
SO_0292,"{'GO_0005829', 'GO_0006098', 'GO_0046872', 'GO_0019323', 'GO_0016853', 'GO_0005975', 'GO_0009052', 'GO_0004750'}"
SO_0293,"{'GO_0005829', 'GO_0008967', 'GO_0003824', 'GO_0046295', 'GO_0046872', 'GO_0016787', 'GO_0005975', 'GO_0006281'}"
SO_0294,"{'GO_0005829', 'GO_0006418', 'GO_0004812', 'GO_0006412', 'GO_0006436', 'GO_0005524', 'GO_0004830', 'GO_0005737'}"
SO_0295,"{'GO_0006355', 'GO_0043565', 'GO_0003700', 'GO_0006351'}"
SO_0298,"{'GO_0008968', 'GO_0097367', 'GO_0008270', 'GO_2001061', 'GO_0016853', 'GO_0046872', 'GO_0005737', 'GO_0005975', 'GO_1901135'}"
SO_0300,"{'GO_0031241', 'GO_0008360', 'GO_0030234', 'GO_0009279', 'GO_0009252'}"
SO_0301,"{'GO_0008168', 'GO_0032259', 'GO_0031167', 'GO_0070677', 'GO_0005737', 'GO_0006364'}"
SO_0304,"{'GO_0009307', 'GO_0003677', 'GO_0015666', 'GO_0004519', 'GO_0043590'}"
SO_0308,"{'GO_0016020', 'GO_0055085', 'GO_0022857'}"
SO_0311,"{'GO_0003824', 'GO_0046872', 'GO_0051539', 'GO_0005506'}"
SO_0312,"{'GO_0006811', 'GO_0046930', 'GO_0015288', 'GO_0016020', 'GO_0034220', 'GO_0009279'}"
SO_0313,"{'GO_0015822', 'GO_1903352', 'GO_0005886', 'GO_0015496', 'GO_0055085', 'GO_0015489', 'GO_0016020', 'GO_0015297', 'GO_0015293', 'GO_0015847', 'GO_0006865'}"
SO_0314,"{'GO_0005829', 'GO_0016831', 'GO_0006520', 'GO_0030170', 'GO_0004586', 'GO_0005737', 'GO_0016829'}"
SO_0317,"{'GO_0003700', 'GO_0006355', 'GO_0000976', 'GO_0003677', 'GO_0043565'}"
SO_0320,"{'GO_0016747', 'GO_0005886', 'GO_0016413', 'GO_0009246', 'GO_0016020', 'GO_0016740'}"
SO_0330,"{'GO_0000287', 'GO_0070733', 'GO_0016779', 'GO_0046872', 'GO_0005524'}"
SO_0332,"{'GO_0000287', 'GO_0106310', 'GO_0004674', 'GO_0046872', 'GO_0005524', 'GO_0005737'}"
SO_0333,"{'GO_0042597', 'GO_0016853', 'GO_0015036', 'GO_0016491'}"
SO_0335,"{'GO_0000917', 'GO_0043093', 'GO_0005737', 'GO_0090529', 'GO_0051301'}"
SO_0340,"{'GO_0050048', 'GO_0052655', 'GO_0052656', 'GO_0008483', 'GO_0009099', 'GO_0008652', 'GO_0004084', 'GO_0009098', 'GO_0009081', 'GO_0009097', 'GO_0052654'}"
SO_0342,"{'GO_0016863', 'GO_0016853', 'GO_0019629'}"
SO_0343,"{'GO_0005829', 'GO_0006099', 'GO_0051539', 'GO_0019629', 'GO_0006101', 'GO_0030350', 'GO_0016836', 'GO_0046872', 'GO_0003994', 'GO_0019679', 'GO_0016829'}"
SO_0344,"{'GO_0019679', 'GO_0050440', 'GO_0006099', 'GO_0004108', 'GO_0046912', 'GO_0016746', 'GO_0036440', 'GO_0005737', 'GO_0005975', 'GO_0016740'}"
SO_0345,"{'GO_0000287', 'GO_0019629', 'GO_0016833', 'GO_0046872', 'GO_0046421', 'GO_0016829'}"
SO_0346,"{'GO_0003677', 'GO_0003700', 'GO_0006355'}"
SO_0347,"{'GO_0005886', 'GO_0016020', 'GO_0016746'}"
SO_0349,"{'GO_0003677', 'GO_0016887', 'GO_0005524', 'GO_0032508'}"
SO_0351,"{'GO_0003677', 'GO_0000160', 'GO_0006355'}"
SO_0352,"{'GO_0000155', 'GO_0016301', 'GO_0000160', 'GO_0046983', 'GO_0016020', 'GO_0004673', 'GO_0004672'}"
SO_0354,"{'GO_0071805', 'GO_0008273', 'GO_0035725', 'GO_0070588', 'GO_0005886', 'GO_0005262', 'GO_0055085', 'GO_0006874', 'GO_0016020'}"
SO_0356,"{'GO_0006310', 'GO_0032196', 'GO_0004803', 'GO_0003677', 'GO_0006313'}"
SO_0358,"{'GO_0005829', 'GO_0019239', 'GO_0016787'}"
SO_0360,"{'GO_0006351', 'GO_0016779', 'GO_0000428', 'GO_0003677', 'GO_0034062', 'GO_0003899'}"
