SAMPLES,CONCEPTS
GSM1029410,"['GO_0034146', 'GO_0003831', 'GO_0052629', 'GO_0002333', 'GO_0007374', 'GO_0031335', 'GO_0052563', 'GO_0034963', 'GO_0097379', 'GO_0044747']"
GSM1029411,"['GO_0034963', 'GO_0030679', 'GO_0031335', 'GO_0003831', 'GO_0019628', 'GO_0035332', 'GO_0002333', 'GO_0034146', 'GO_0007374', 'GO_1990745']"
GSM1144009,"['GO_0098882', 'GO_0038148', 'GO_0003295', 'GO_0004850', 'GO_1902834', 'GO_0052794', 'GO_0050380', 'GO_0000770', 'GO_0043946', 'GO_0006649']"
GSM1144010,"['GO_1990745', 'GO_0071744', 'GO_0052629', 'GO_0031335', 'GO_0003831', 'GO_1904030', 'GO_0007374', 'GO_0110099', 'GO_0038038', 'GO_0035332']"
GSM1144011,"['GO_0003831', 'GO_0034146', 'GO_0019585', 'GO_0061076', 'GO_0010597', 'GO_0060628', 'GO_0030679', 'GO_1901907', 'GO_0034963', 'GO_0098882']"
GSM1144012,"['GO_0098882', 'GO_0003831', 'GO_0061076', 'GO_0051536', 'GO_0007374', 'GO_0052629', 'GO_0019585', 'GO_0060628', 'GO_0034963', 'GO_1990575']"
GSM1144013,"['GO_0003831', 'GO_1902834', 'GO_0034146', 'GO_0004850', 'GO_0034963', 'GO_0003295', 'GO_0098882', 'GO_0050781', 'GO_0007374', 'GO_0051733']"
GSM1144014,"['GO_0003831', 'GO_0001057', 'GO_0030679', 'GO_1990745', 'GO_0046257', 'GO_0031335', 'GO_0007374', 'GO_0034963', 'GO_0070175', 'GO_0002333']"
GSM1144015,"['GO_0034963', 'GO_0003831', 'GO_0007374', 'GO_0052629', 'GO_0003295', 'GO_0035332', 'GO_0019585', 'GO_0000770', 'GO_0004850', 'GO_0019628']"
GSM1144016,"['GO_0052629', 'GO_0003831', 'GO_0007374', 'GO_0098882', 'GO_0034146', 'GO_0001057', 'GO_1990745', 'GO_0030679', 'GO_0035332', 'GO_0031335']"
GSM754675,"['GO_1990706', 'GO_0032026', 'GO_0030223', 'GO_0018130', 'GO_0098877', 'GO_0008946', 'GO_1905180', 'GO_1904767', 'GO_1903674', 'GO_0018900']"
GSM754676,"['GO_1990706', 'GO_0032026', 'GO_0030223', 'GO_0018130', 'GO_0098877', 'GO_0008946', 'GO_1905180', 'GO_1904767', 'GO_1903674', 'GO_0018900']"
GSM5106536,"['GO_0006910', 'GO_0031829', 'GO_0015203', 'GO_1901951', 'GO_0062072', 'GO_0015250', 'GO_0102065', 'GO_0050202', 'GO_0040029', 'GO_0001808']"
GSM5106537,"['GO_0006910', 'GO_0031829', 'GO_0015203', 'GO_1901951', 'GO_0062072', 'GO_0015250', 'GO_0102065', 'GO_0050202', 'GO_0040029', 'GO_0001808']"
GSM5106538,"['GO_0006910', 'GO_0031829', 'GO_0015203', 'GO_1901951', 'GO_0062072', 'GO_0015250', 'GO_0102065', 'GO_0050202', 'GO_0040029', 'GO_0001808']"
GSM5106539,"['GO_0006910', 'GO_0031829', 'GO_1901951', 'GO_0015203', 'GO_0062072', 'GO_0015250', 'GO_0102065', 'GO_0050202', 'GO_0040029', 'GO_0022031']"
GSM5106540,"['GO_0006910', 'GO_0031829', 'GO_1901951', 'GO_0015203', 'GO_0062072', 'GO_0015250', 'GO_0102065', 'GO_0050202', 'GO_0040029', 'GO_0022031']"
GSM5106541,"['GO_0006910', 'GO_0031829', 'GO_1901951', 'GO_0015203', 'GO_0062072', 'GO_0015250', 'GO_0102065', 'GO_0050202', 'GO_0040029', 'GO_0022031']"
GSM5106542,"['GO_0015203', 'GO_0031829', 'GO_0006910', 'GO_0015250', 'GO_0040029', 'GO_0050836', 'GO_1901951', 'GO_0010454', 'GO_0102180', 'GO_0052183']"
GSM5551341,"['GO_0006254', 'GO_0006910', 'GO_0090391', 'GO_0097699', 'GO_2001278', 'GO_0110108', 'GO_0048310', 'GO_0030643', 'GO_2000853', 'GO_0048941']"
GSM5551342,"['GO_0006254', 'GO_0006910', 'GO_0090391', 'GO_0097699', 'GO_2001278', 'GO_0110108', 'GO_0048310', 'GO_0030643', 'GO_2000853', 'GO_0048941']"
GSM5551343,"['GO_0006254', 'GO_0006910', 'GO_0090391', 'GO_0097699', 'GO_2001278', 'GO_0110108', 'GO_0048310', 'GO_0030643', 'GO_2000853', 'GO_0048941']"
GSM5551344,"['GO_0006254', 'GO_0006910', 'GO_0090391', 'GO_0097699', 'GO_2001278', 'GO_0110108', 'GO_0048310', 'GO_0030643', 'GO_2000853', 'GO_0048941']"
GSM5551345,"['GO_0006254', 'GO_0006910', 'GO_0090391', 'GO_0097699', 'GO_2001278', 'GO_0110108', 'GO_0048310', 'GO_0030643', 'GO_2000853', 'GO_0048941']"
GSM5551346,"['GO_0006254', 'GO_0006910', 'GO_0090391', 'GO_0097699', 'GO_2001278', 'GO_0110108', 'GO_0048310', 'GO_0030643', 'GO_2000853', 'GO_0048941']"
GSM5551347,"['GO_0006254', 'GO_0006910', 'GO_0090391', 'GO_0097699', 'GO_2001278', 'GO_0110108', 'GO_0048310', 'GO_0030643', 'GO_2000853', 'GO_0048941']"
GSM5551348,"['GO_0006254', 'GO_0006910', 'GO_0090391', 'GO_0097699', 'GO_2001278', 'GO_0110108', 'GO_0048310', 'GO_0030643', 'GO_2000853', 'GO_0048941']"
GSM5551349,"['GO_0006254', 'GO_0006910', 'GO_0090391', 'GO_0097699', 'GO_2001278', 'GO_0110108', 'GO_0048310', 'GO_0030643', 'GO_2000853', 'GO_0048941']"
GSM5551350,"['GO_0006254', 'GO_0006910', 'GO_0090391', 'GO_0097699', 'GO_2001278', 'GO_0110108', 'GO_0048310', 'GO_0030643', 'GO_2000853', 'GO_0048941']"
GSM5551351,"['GO_0006254', 'GO_0006910', 'GO_2001278', 'GO_0090391', 'GO_0048310', 'GO_0110108', 'GO_0030643', 'GO_2000853', 'GO_0001188', 'GO_0097699']"
GSM5551352,"['GO_0006254', 'GO_0006910', 'GO_2001278', 'GO_0090391', 'GO_0048310', 'GO_0110108', 'GO_0030643', 'GO_2000853', 'GO_0001188', 'GO_0097699']"
GSM5551353,"['GO_0006254', 'GO_0006910', 'GO_0090391', 'GO_2001278', 'GO_0030643', 'GO_0110108', 'GO_0048310', 'GO_2000853', 'GO_0097699', 'GO_0062013']"
GSM5551354,"['GO_0006254', 'GO_0006910', 'GO_0090391', 'GO_2001278', 'GO_0048310', 'GO_0030643', 'GO_0110108', 'GO_2000853', 'GO_0097699', 'GO_0062013']"
GSM5551355,"['GO_0006254', 'GO_0006910', 'GO_0090391', 'GO_2001278', 'GO_0048310', 'GO_0030643', 'GO_0110108', 'GO_2000853', 'GO_0097699', 'GO_0062013']"
GSM5551356,"['GO_0006254', 'GO_0006910', 'GO_0090391', 'GO_2001278', 'GO_0048310', 'GO_0030643', 'GO_0110108', 'GO_2000853', 'GO_0097699', 'GO_0062013']"
GSM5551357,"['GO_0006254', 'GO_0006910', 'GO_0090391', 'GO_2001278', 'GO_0048310', 'GO_0030643', 'GO_0110108', 'GO_2000853', 'GO_0097699', 'GO_0062013']"
GSM5551358,"['GO_0006254', 'GO_0006910', 'GO_0090391', 'GO_2001278', 'GO_0048310', 'GO_0030643', 'GO_0110108', 'GO_2000853', 'GO_0097699', 'GO_0062013']"
GSM5551359,"['GO_0006254', 'GO_0006910', 'GO_0090391', 'GO_2001278', 'GO_0048310', 'GO_0030643', 'GO_0110108', 'GO_2000853', 'GO_0097699', 'GO_0062013']"
GSM5551360,"['GO_0006254', 'GO_0006910', 'GO_0090391', 'GO_2001278', 'GO_0048310', 'GO_0030643', 'GO_0110108', 'GO_2000853', 'GO_0097699', 'GO_0062013']"
GSM5551361,"['GO_0006254', 'GO_0006910', 'GO_0090391', 'GO_2001278', 'GO_0048310', 'GO_0030643', 'GO_0110108', 'GO_2000853', 'GO_0097699', 'GO_0062013']"
GSM5551362,"['GO_0006254', 'GO_0006910', 'GO_0090391', 'GO_2001278', 'GO_0048310', 'GO_0030643', 'GO_0110108', 'GO_2000853', 'GO_0097699', 'GO_0062013']"
GSM5551363,"['GO_0006254', 'GO_0006910', 'GO_0090391', 'GO_2001278', 'GO_0048310', 'GO_0030643', 'GO_0110108', 'GO_2000853', 'GO_0097699', 'GO_0062013']"
GSM5551364,"['GO_0006254', 'GO_0006910', 'GO_0090391', 'GO_2001278', 'GO_0030643', 'GO_0048310', 'GO_0110108', 'GO_2000853', 'GO_0097699', 'GO_0062013']"
GSM5551365,"['GO_0006254', 'GO_0006910', 'GO_0090391', 'GO_2001278', 'GO_0030643', 'GO_0048310', 'GO_0110108', 'GO_2000853', 'GO_0097699', 'GO_0062013']"
GSM5551366,"['GO_0006254', 'GO_0006910', 'GO_0090391', 'GO_2001278', 'GO_0030643', 'GO_0048310', 'GO_0110108', 'GO_2000853', 'GO_0097699', 'GO_0062013']"
GSM5551367,"['GO_0006254', 'GO_0006910', 'GO_0090391', 'GO_2001278', 'GO_0030643', 'GO_0048310', 'GO_0110108', 'GO_2000853', 'GO_0097699', 'GO_0062013']"
GSM5551368,"['GO_0006254', 'GO_0006910', 'GO_0090391', 'GO_2001278', 'GO_0030643', 'GO_0048310', 'GO_0110108', 'GO_2000853', 'GO_0097699', 'GO_0062013']"
GSM5551369,"['GO_0006254', 'GO_0006910', 'GO_0090391', 'GO_2001278', 'GO_0030643', 'GO_0048310', 'GO_0110108', 'GO_2000853', 'GO_0097699', 'GO_0062013']"
GSM5551370,"['GO_0006254', 'GO_0006910', 'GO_0090391', 'GO_2001278', 'GO_0030643', 'GO_0048310', 'GO_0110108', 'GO_2000853', 'GO_0097699', 'GO_0062013']"
GSM5551371,"['GO_0006254', 'GO_0006910', 'GO_0090391', 'GO_2001278', 'GO_0030643', 'GO_0048310', 'GO_0110108', 'GO_2000853', 'GO_0097699', 'GO_0062013']"
GSM1087810,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0035785', 'GO_0030527', 'GO_0150105', 'GO_0006702', 'GO_0110004', 'GO_0051034', 'GO_0090546']"
GSM1087811,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0035785', 'GO_0030527', 'GO_0150105', 'GO_0006702', 'GO_0110004', 'GO_0051034', 'GO_0090546']"
GSM1087812,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0035785', 'GO_0150105', 'GO_0006702', 'GO_0090546', 'GO_0030527', 'GO_0051034', 'GO_0110004']"
GSM1087813,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0035785', 'GO_0150105', 'GO_0006702', 'GO_0090546', 'GO_0030527', 'GO_0051034', 'GO_0110004']"
GSM1087814,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0006702', 'GO_0150105', 'GO_0035785', 'GO_0051034', 'GO_0090546', 'GO_0030527', 'GO_0050772']"
GSM1087815,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0006702', 'GO_0150105', 'GO_0035785', 'GO_0051034', 'GO_0090546', 'GO_0030527', 'GO_0050772']"
GSM1087816,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0035785', 'GO_0030527', 'GO_0110004', 'GO_0150105', 'GO_0006702', 'GO_0090546', 'GO_0051034']"
GSM1087817,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0035785', 'GO_0030527', 'GO_0110004', 'GO_0150105', 'GO_0006702', 'GO_0090546', 'GO_0051034']"
GSM1087818,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0035785', 'GO_0150105', 'GO_0006702', 'GO_0090546', 'GO_0030527', 'GO_0110004', 'GO_0051034']"
GSM1087819,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0035785', 'GO_0150105', 'GO_0006702', 'GO_0090546', 'GO_0030527', 'GO_0110004', 'GO_0051034']"
GSM1087820,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0006702', 'GO_0035785', 'GO_0150105', 'GO_0090546', 'GO_0051034', 'GO_0030527', 'GO_0050772']"
GSM1087821,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0006702', 'GO_0035785', 'GO_0150105', 'GO_0090546', 'GO_0051034', 'GO_0030527', 'GO_0050772']"
GSM1087822,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0035785', 'GO_0150105', 'GO_1900128', 'GO_0050772', 'GO_0030527', 'GO_0006702', 'GO_0051034']"
GSM1087823,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0035785', 'GO_0150105', 'GO_1900128', 'GO_0050772', 'GO_0030527', 'GO_0006702', 'GO_0051034']"
GSM1087824,"['GO_1904543', 'GO_0036003', 'GO_0035785', 'GO_0004324', 'GO_0150105', 'GO_1900128', 'GO_1902461', 'GO_0006702', 'GO_0006404', 'GO_0010201']"
GSM1087825,"['GO_1904543', 'GO_0036003', 'GO_0035785', 'GO_0004324', 'GO_0150105', 'GO_1900128', 'GO_1902461', 'GO_0006702', 'GO_0006404', 'GO_0010201']"
GSM1087826,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0150105', 'GO_0035785', 'GO_0006702', 'GO_1900128', 'GO_0050772', 'GO_1902461', 'GO_0051034']"
GSM1087827,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0150105', 'GO_0035785', 'GO_0006702', 'GO_1900128', 'GO_0050772', 'GO_1902461', 'GO_0051034']"
GSM1087828,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0035785', 'GO_0150105', 'GO_1900128', 'GO_0030527', 'GO_0050772', 'GO_0006702', 'GO_0051034']"
GSM1087829,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0035785', 'GO_0150105', 'GO_1900128', 'GO_0030527', 'GO_0050772', 'GO_0006702', 'GO_0051034']"
GSM1087830,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0035785', 'GO_1900128', 'GO_0150105', 'GO_1902461', 'GO_0006702', 'GO_0006404', 'GO_0010201']"
GSM1087831,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0035785', 'GO_1900128', 'GO_0150105', 'GO_1902461', 'GO_0006702', 'GO_0006404', 'GO_0010201']"
GSM1087832,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0035785', 'GO_0150105', 'GO_0006702', 'GO_1900128', 'GO_1902461', 'GO_0050772', 'GO_0051034']"
GSM1087833,"['GO_1904543', 'GO_0036003', 'GO_0004324', 'GO_0035785', 'GO_0150105', 'GO_0006702', 'GO_1900128', 'GO_1902461', 'GO_0050772', 'GO_0051034']"
GSM1087834,"['GO_0036003', 'GO_1904543', 'GO_0004324', 'GO_0035785', 'GO_0150105', 'GO_1900128', 'GO_0030527', 'GO_0050772', 'GO_0006702', 'GO_0051034']"
GSM1087835,"['GO_0036003', 'GO_1904543', 'GO_0004324', 'GO_0035785', 'GO_0150105', 'GO_1900128', 'GO_0030527', 'GO_0050772', 'GO_0006702', 'GO_0051034']"
