,GENE,GSM2732663,GSM2732664,GSM2732665,GSM2732666,GSM2732667,GSM2732668,GSM2732669,GSM2732670,GSM2732671,GSM2732672,GSM2732673,GSM2732674,GSM2732675,GSM2732676,GSM2732677,GSM2732678,GSM2732679,GSM2732680,GSM2732681,GSM2732682,GSM2732683,GSM2732684
39,SO_0014,0.8698101,0.2684021,0.3642578,1.0770025,1.1233749,-0.24262857,-0.46521425,-0.62240267,0.01440239,0.18758345,0.22059774,-0.062441826,0.85184,0.76009655,-0.685102,-0.09559631,-0.01440239,-0.7691722,-0.23285198,-0.30711746,-1.1257148,0.2384491
40,SO_0014,0.86491036,0.79507184,0.51347184,1.4506819,1.3359616,-0.34565473,-0.289047,-1.7300789,0.24257255,0.08666444,-0.20780969,-0.06109166,0.88072133,1.1554787,-0.84422183,-0.29302,-0.8063977,-0.43324876,0.3492067,0.06109166,-1.7830288,-1.2405121
41,SO_0015,0.43458438,-0.024334192,-0.2606356,1.3106887,1.185272,-0.078751326,0.12894368,-0.65676904,-0.07265878,0.5208533,0.024334192,0.41366315,0.94600654,1.3541601,-0.92851424,-0.6167152,-0.6571586,-0.24906135,0.20824647,0.05228877,-1.57038,-0.84594846
42,SO_0015,-0.017361403,-0.13932967,-0.55306697,0.797889,0.84156823,-0.540993,-0.5249765,-0.51304173,1.2319777,0.44729972,0.32552552,0.46776557,0.8584044,0.952718,-0.5842693,-0.59261394,-0.050657034,0.017361403,0.6795323,0.5385735,-1.1064589,-0.4320886
43,SO_0015,0.5657258,0.34745836,-0.72791815,0.68192434,0.5577769,-0.3195386,-0.2163372,-0.75723743,0.19915533,0.07093716,0.21920633,-0.07093716,0.7275281,0.9039006,-0.81012774,-0.7656293,-0.23413515,-0.41623878,0.40296602,0.21748972,-1.0618644,-0.566329
44,SO_0016,0.8917966,1.0341954,0.04354191,-0.15503788,0.13851833,-0.039329052,0.9954877,-1.2441993,-0.58424425,-1.2089529,-0.08519673,-0.2819438,0.12353563,-1.0868821,0.23716927,0.039329052,0.80129385,-1.3565688,0.48844337,-1.1021862,-1.1465898,0.1617899
45,SO_0016,1.2261336,-0.33695245,0.70254827,-0.80982757,-0.19704938,-0.10749984,-0.3997047,0.9098294,-0.1837256,-1.0614936,0.6344259,0.7525356,-2.032026,-0.39768052,1.0106757,0.778002,-0.53432727,0.99359345,-0.07914233,0.2763064,0.07914233,0.16444707
46,SO_0016,0.1083827,0.25211763,-0.5858793,-0.6239877,0.3468356,0.39346647,-1.0219107,-0.18597412,-1.1527038,-0.47532082,0.43659258,-0.104849815,0.104849815,-1.1678996,1.5077057,0.4563136,0.3122053,-0.6387398,0.6604867,-0.33192873,1.3664389,-0.18474102
47,SO_0017,0.3335092,1.1996222,1.4147587,1.4212322,0.83011913,-1.1064148,-1.060782,-0.45500946,1.1156144,-1.5283294,0.7612181,-1.037405,1.0413485,0.39679813,1.0858574,-0.54977894,0.114510536,-0.5018921,-0.1145103,-0.15516615,-0.4252653,-0.93915844
48,SO_0017,0.31721163,0.23584127,0.12766075,0.98684025,0.70505524,-0.9039407,-0.12766075,-1.0494637,-0.8921075,-0.37512088,0.61147356,-1.1050649,1.2639437,0.886776,-0.552825,1.0005612,0.80802345,0.3833046,-0.5317974,-1.0856543,-0.97347593,-0.26655555
