,GENE,GSM663193,GSM663194,GSM663195,GSM663196,GSM663197,GSM663198
6588,SO2958,-2.285,-3.285,-2.585,1.933,2.222,1.737
6589,SO2958,-2.188,-2.652,-2.445,2.0,2.268,0.459
6590,SO2959,-2.248,-3.087,-2.954,1.807,2.485,1.585
6591,SO2959,-1.737,-2.807,-2.807,2.322,2.248,1.585
6592,SO2960,-2.059,-2.585,-2.663,2.322,2.285,2.28
6593,SO2960,-2.222,-3.087,-2.585,1.75,2.29,2.322
6594,SO2961,-1.17,-1.644,-2.202,1.755,1.954,1.948
6595,SO2961,-1.441,-2.147,-2.104,1.064,1.874,1.459
6596,SO2962,-1.268,-2.285,-1.907,1.28,1.447,1.821
6597,SO2962,-1.832,-2.784,-2.092,0.888,1.402,1.389
6598,SO2963,-0.851,-1.34,-1.982,1.724,1.921,1.778
6599,SO2963,-1.6,-1.424,-2.04,0.727,1.327,1.597
6600,SO2964,-2.124,-2.059,-2.07,1.585,1.922,1.766
6601,SO2964,-1.634,-1.907,-1.84,2.136,1.89,2.0
6602,SO2964F,,,,,,
6603,SO2964F,,,,,,
6604,SO2965,-1.784,-1.962,-2.219,2.332,2.441,2.0
6605,SO2965,-2.363,-2.206,-2.451,1.558,1.727,2.143
6606,SO2966,-1.585,-0.585,-2.0,1.0,0.0,0.585
6607,SO2966,-0.415,-2.322,-1.0,1.0,2.0,0.585
6608,SO2967,-1.911,-1.916,-2.619,1.459,2.084,1.922
6609,SO2967,-1.295,-1.547,-2.015,1.842,1.71,2.082
6610,SO2968,-2.036,-2.155,-1.951,1.451,1.492,1.222
6611,SO2968,-2.295,-2.83,-2.4,0.778,1.057,1.392
6612,SO2969,-1.29,-1.676,-1.722,2.322,1.918,1.761
6613,SO2969,-1.564,-1.535,-2.337,2.141,2.056,1.426
6614,SO2969F,,,,,,
6615,SO2969F,,,,,,
6616,SO2970,-1.17,-1.688,-1.518,2.254,1.63,1.708
6617,SO2970,-1.914,-1.959,-2.217,2.141,2.36,1.684
6618,SO2971,-2.115,-2.663,-2.132,1.273,1.7,1.495
6619,SO2971,-1.354,-2.322,-2.237,2.0,1.898,1.898
6620,SO2972,-1.28,-2.138,-1.871,1.6,1.819,0.778
6621,SO2972,-1.703,-2.706,-2.241,1.014,1.441,1.512
6622,SO2973,-1.0,-1.3,-2.469,1.972,1.0,1.97
6623,SO2973,-1.495,-1.926,-2.263,0.959,1.31,2.032
6624,SO2974,-1.807,-2.392,-3.0,1.193,1.858,2.392
6625,SO2974,-1.459,-2.807,-2.585,1.848,1.837,2.379
6626,SO2975,0.585,-0.322,-1.379,-2.459,-1.459,0.0
6627,SO2975,1.0,0.415,-1.138,-1.222,-1.415,0.0
6628,SO2976,0.585,-0.585,-1.0,0.0,-0.415,0.415
6629,SO2976,-0.585,-0.585,-1.415,-2.0,-0.415,-0.415
6630,SO2977,-1.0,-1.222,-1.874,-1.585,-0.322,-0.737
6631,SO2977,-0.415,-0.807,-1.0,0.0,-0.415,0.0
6632,SO2978,0.193,-0.222,-0.29,0.848,-0.138,0.263
6633,SO2978,-0.193,-0.585,-1.0,0.0,0.652,0.263
6634,SO2979,-0.737,-1.222,-0.585,0.0,-0.459,0.222
6635,SO2979,0.0,-0.585,-0.585,0.415,0.678,0.322
6636,SO2980,0.485,-0.415,-0.652,0.585,0.193,1.0
6637,SO2980,-0.222,0.0,-1.485,0.263,0.848,0.807
6638,SO2981,0.415,-1.585,-0.807,0.0,2.202,0.0
6639,SO2981,-1.0,-1.0,-0.737,0.415,-0.322,0.415
6640,SO2982,0.379,0.0,0.0,1.0,-0.28,0.0
6641,SO2982,-0.585,0.263,-0.585,0.737,1.0,-0.263
6642,SO2983,-0.585,-2.0,-1.0,0.415,0.0,0.0
6643,SO2983,-0.737,-1.585,-1.0,0.737,0.322,0.0
6644,SO2984,-0.807,-0.585,-0.737,0.222,0.585,-0.222
6645,SO2984,-0.485,-1.0,-0.485,1.0,0.678,0.222
6646,SO2985,-1.0,-1.415,-0.807,-0.263,0.0,-0.222
6647,SO2985,0.0,-1.0,-1.322,0.737,0.0,-0.415
6648,SO2986,0.0,-0.737,-0.737,-0.222,-0.322,0.0
6649,SO2986,-0.263,-0.322,-0.585,0.0,0.0,-0.363
6650,SO2987,,,,,,
6651,SO2987,,,,,,
6652,SO2988,-0.193,-0.485,0.1,-0.415,-0.7,-0.918
6653,SO2988,0.363,-0.222,0.126,0.322,-0.322,-0.541
6654,SO2989,0.0,0.0,-1.0,0.0,0.0,
6655,SO2989,,,,,,
6656,SO2990,2.585,2.044,1.034,-2.087,-2.379,-0.485
6657,SO2990,2.433,1.17,0.853,-3.437,-2.256,-1.778
6658,SO2991,2.193,1.766,0.885,-0.678,-1.17,-0.485
6659,SO2991,2.363,1.222,0.663,-2.778,-1.433,-0.263
6660,SO2992,1.837,1.0,0.752,-1.71,-1.369,-1.276
6661,SO2992,1.524,0.652,0.376,-2.143,-1.684,-1.256
6662,SO2993,0.222,0.0,-0.893,-0.848,-0.459,-0.193
6663,SO2993,0.222,-0.585,-0.737,-0.778,-0.415,-0.415
6664,SO2995,0.585,0.585,0.0,-0.263,0.0,-0.737
6665,SO2995,0.0,0.263,-1.0,-0.585,-0.848,-1.0
6666,SO2996,-0.585,-0.678,-1.807,-1.0,-0.387,0.193
6667,SO2996,0.459,0.0,-1.678,-0.485,-1.0,-1.322
6668,SO2996F,,,,,,
6669,SO2996F,,,,,,
6670,SO2997,-0.415,0.0,-0.263,0.678,-0.322,-0.585
6671,SO2997,-0.222,-0.415,-0.263,0.807,-1.322,-0.415
6672,SO2998,0.485,0.0,0.515,-0.778,-1.322,-1.322
6673,SO2998,0.737,0.585,0.737,-0.193,-0.807,-1.115
6674,SO2999,0.0,0.0,0.193,-1.0,-2.322,-1.222
