GENE,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
UP_SO2849_at,18048.59227556959,0.8742088481813353,0.52497888996581,1.6652266689014286,0.09586754222866958,0.1334351710008343
IG_SO4008_SO4011_at,470.049104636577,-1.7105094086058261,1.0274404444228347,-1.6648258474647706,0.09594750558405217,0.1335257275976247
SO0102_at,5674.27004076943,-0.6193028908250132,0.372007322863653,-1.6647599462766443,0.09596065789424842,0.1335257275976247
IG_SO3605ic_SO3602_x_at,540.6550035164386,-1.4139962876114398,0.8495074174091889,-1.6644896308543344,0.096014621525122,0.1335684459319668
UP_SO1211_at,2909.889729315769,0.968122770729735,0.581641804853933,1.6644655914525581,0.0960194217367842,0.1335684459319668
IG_SO1855_SO1856_at,13091.372788871464,0.964079757023728,0.5793652660346789,1.6640275376225633,0.09610692640562093,0.13367063595194414
UP_SO2134_x_at,55279.48762803815,0.9744047654779265,0.5862958447452268,1.661967715124011,0.09651924795274583,0.13422450274100622
SO2667_at,7942.157854567723,0.7935095750958402,0.4774943441193332,1.6618198411529874,0.09654890273930825,0.1342461298824825
UP_SO2433_at,2562.929143218746,1.0393102719118097,0.6254462875550939,1.6617098743595304,0.09657096030965949,0.13425718872318515
UP_SO0764_at,2756.1871980635296,-0.4860126654303815,0.29253618080299254,-1.6613762581309046,0.09663790302717774,0.13433063652390553
SO2668_at,2885.0603231683963,0.4738575260971346,0.2853031735065953,1.660891185587112,0.0967353028603891,0.13444639333158764
SO3848_at,3639.930593270597,0.6167793918241989,0.3715189982475374,1.6601557248311922,0.09688312899187755,0.13463219049250838
IG_SO0752_SO0753_at,12913.496384598913,0.7455416497406033,0.44910384784202434,1.6600651571412346,0.09690134540187913,0.13463784949357574
SO3479ic_at,2461.5849570643195,0.35859053662896,0.21602598236431708,1.6599417010136073,0.09692618126761021,0.13465270278551977
UP_SO1258_at,321.2071740680478,-1.7782244238411564,1.0716181948747077,-1.659382448287997,0.09703875079401594,0.13478941614011933
UP_SO0126_at,272.27113260567165,-2.351396428566343,1.417250577947109,-1.6591253975513256,0.09709052646393201,0.13483237207442783
SO3596_at,2746.656129948077,0.4708432831271763,0.2837972048378079,1.6590835818706058,0.09709895114988232,0.13483237207442783
SO1673_at,3366.7070987842926,-0.3578174775743314,0.21568028936809092,-1.6590179780576146,0.09711216965461468,0.13483237207442783
IG_SO1562_SO1563_x_at,1056.969037664344,-1.4607031602417144,0.8807968595810259,-1.6583882473610727,0.09723912722388814,0.1349889531929694
SO4576_x_at,1489.1502945528705,-0.8679154226128847,0.5234125667631516,-1.658186061485267,0.09727991726489428,0.1350258869122964
SO0449_x_at,9433.11890650574,0.8189455005143613,0.49410654448580216,1.657426944965092,0.09743318752543591,0.1352050695238673
SO4701_at,2848.1390286655055,-0.3363550812019564,0.20294066721833617,-1.6574060084275013,0.09743741747386592,0.1352050695238673
UP_SO3701_at,2527.0786158909814,0.8474977253456216,0.511438322617446,1.657086862416344,0.09750191484686008,0.13527484731486095
SO3099_at,13453.105228546363,0.8563171915442223,0.5169217605553063,1.6565702140771137,0.09760639850861598,0.13540007394396902
IG_SO4576_SO4577_at,728.7259867415667,-1.1367684137613163,0.6866201292423384,-1.6556001861112069,0.09780281247839366,0.13565277167154732
SO0078_x_at,1995.1848822336765,0.42566687644550405,0.25729501661959064,1.6543922305143217,0.09804784407025217,0.13597281872155165
SO2280_x_at,1732.151946506754,0.3727510512003832,0.22552806045970758,1.652792341851307,0.09837313320365013,0.13640405753321858
