,GENE,GSM4233495,GSM4233496,GSM4233497,GSM4233498,GSM4233499,GSM4233500,GSM4233501,GSM4233502,GSM4233503,GSM4233504,GSM4233505,GSM4233506,GSM4233507,GSM4233508,GSM4233509,GSM4233510
37,SO_0013,9.091270314,9.320448208,9.513912782,9.349143174,9.385795198,8.948823734,9.386401613,9.139151839,9.068997563,8.660509852,9.069668951,8.83670251,8.940369773,8.960419409,8.991576063,8.592061283
38,SO_0014,10.8393269,10.3292008,10.85313902,10.98328318,11.01982966,10.30160346,11.3684383,10.83671618,10.64747563,9.932150706,11.00339959,10.45842623,10.81264392,9.721879518,10.53729765,9.956403934
39,SO_0014,9.08688283,9.225810152,9.536429533,9.645264542,10.52055738,10.61608939,10.33333018,10.48151575,10.13977564,10.23161916,9.962291087,10.09986605,10.58351215,10.4630649,10.93531729,10.99171254
40,SO_0014,9.348244234,9.251556586,9.234518296,9.390975195,9.006852248,8.809868874,8.769424932,8.563315794,8.716349214,8.534620488,8.497678738,8.310415692,8.880598686,9.006204398,8.8623092,8.862890322
41,SO_0015,12.71991686,12.2291662,12.55173081,12.30571446,11.67836635,11.58262719,11.37519224,11.96759782,11.31112055,11.21482399,11.00949213,11.59380852,11.09107608,11.94710738,11.05143439,11.55045539
42,SO_0015,5.567008043,4.440875002,4.419966098,5.347624481,4.746519042,4.611029983,4.887224897,4.457386647,4.615835805,4.462731525,4.772499525,4.286816753,5.13521178,4.925720754,5.767035764,3.987583114
43,SO_0015,10.88519595,11.15637945,11.08932639,10.92297928,10.0388334,10.76391266,10.99039215,10.47661974,9.681930825,10.38338746,10.61868982,10.09554587,10.01265125,9.441881561,10.04723522,10.6019336
44,SO_0016,5.386943274,5.615632221,5.836841577,5.347624481,6.16804703,6.415215084,6.000706248,6.107872752,6.106309132,6.340190664,5.942963164,6.048903763,6.496160776,6.582429982,7.079688812,6.573936889
45,SO_0016,6.925555482,6.842351448,6.679041423,6.558900325,7.400880186,7.284246563,7.317413408,7.28973155,7.234701327,7.130445759,7.160694635,7.136546485,6.851987955,7.083682792,7.206590761,7.291346885
46,SO_0016,9.710537561,9.379920008,9.259964094,9.516254219,9.768442957,9.444626876,10.10086774,9.730841739,9.428661932,9.123039217,9.742341656,9.394235723,9.558696461,9.093303012,9.191954614,9.752203546
47,SO_0017,9.176407148,9.295984319,9.324180744,9.316211008,10.08019307,10.13751164,9.575362138,9.179831575,9.722199813,9.776515905,9.246489153,8.875424163,10.43340979,10.03954507,10.52761788,9.543310525
48,SO_0017,11.33110943,11.76317349,11.72127282,11.90000593,11.70605081,11.9394989,12.35893448,11.99802845,11.33867741,11.56808396,11.98237657,11.62125937,11.92349709,11.13808401,12.05314754,12.10081233
49,SO_0017,10.17652391,10.00961008,10.60591359,10.49050629,11.24579413,10.98972717,11.23423745,11.30615077,10.8816066,10.61777198,10.87042763,10.93954735,11.07622295,10.58098315,10.94234525,10.33875769
50,SO_0018,7.483564596,7.805744438,7.487589552,7.439052411,6.977638696,7.239897661,7.698922272,7.529187191,6.855106781,7.090976493,7.513385166,7.354142503,6.461792569,6.285755981,6.114140621,6.453585542
51,SO_0018,7.143065177,6.959640782,7.251187335,7.055961187,7.018548919,6.549304722,7.175238527,6.565579475,6.892016079,6.467917345,7.032945276,6.481099159,7.315322844,6.794258313,7.214504946,7.000215584
52,SO_0018,8.995414101,8.954196566,9.291098938,8.786882481,8.42560968,8.211584581,8.195833982,8.404742806,8.184505344,7.990567076,7.976315679,8.16500308,7.500496377,7.96300661,7.40344139,8.115793442
53,SO_0019,13.43354878,13.67275336,13.70500121,13.61269936,14.5308997,13.95616911,14.41057764,13.74627485,14.01093401,13.48600462,13.91638862,13.29202775,13.52385523,13.67562841,13.71585682,13.55276144
54,SO_0019,5.454302184,4.686505448,4.764876252,4.891787972,4.172434536,3.89179224,4.167425198,3.558431469,3.99608428,3.702565815,3.98473819,3.377786389,4.509007177,3.941377095,3.437234946,3.333779082
