,GENE,GSM358310,GSM358311,GSM358312
308,SO0134,-0.809774286,0.253032794,0.129812779
309,SO0134,-0.317017076,0.074104977,-0.467171315
310,SO0135,0.122034615,0.106818828,-0.171226276
311,SO0135,-0.189987468,0.049166937,0.34385795
312,SO0135F,-1.131362076,-0.341488054,-0.333484
313,SO0135F,-0.379717507,-0.261443131,-0.148148781
314,SO0136,-0.30235454,-0.434467649,-0.134343252
315,SO0136,0.051032354,0.101153637,0.267874569
316,SO0137,-0.309608848,-0.346576289,0.021658269
317,SO0137,-1.061713923,-0.317703143,-0.397399874
318,SO0138,0.071778171,-0.002672264,0.127668885
319,SO0138,-0.105195619,0.413713244,0.388307051
320,SO0139,-0.443329569,0.078378026,-0.305794537
321,SO0139,-0.138477183,-0.250037159,-0.121950816
322,SO0141,0.084637825,-0.075291457,0.013217579
323,SO0141,0.282281177,0.073464951,0.319193367
324,SO0142,-0.367808286,-0.190648311,-0.161215011
325,SO0142,-1.212596167,-0.204526973,0.173003505
326,SO0143,-1.551879257,-0.795419684,-0.264015243
327,SO0143,-1.709056069,-0.540251107,-0.520784061
328,SO0143F,0.003007839,0.455882366,0.299474966
329,SO0143F,-0.662126916,0.140988066,-0.388255586
330,SO0144,-0.550290036,-0.22542019,0.27663535
331,SO0144,-0.272095339,0.019476298,0.29392532
332,SO0145,-0.134044731,0.511379208,-0.327473131
333,SO0145,0.178093365,-0.329602526,-0.380051332
334,SO0147,0.335738898,-0.096997076,0.020070656
335,SO0147,0.35909006,0.749481251,0.508871519
336,SO0148,0.055456474,-0.409051877,0.254027708
337,SO0148,-0.232037254,-0.248972111,0.33350873
338,SO0149,-0.48501046,0.560180652,0.575989407
339,SO0149,-1.776574001,-0.076584773,-0.637767641
340,SO0150,2.260371772,0.708155252,0.169110997
341,SO0150,-0.306118956,0.607469787,0.516569685
342,SO0151,-0.277139252,0.159225811,-0.078296254
343,SO0151,0.095675106,0.086815195,0.274279191
344,SO0152,-0.592328962,0.271871112,0.496386257
345,SO0152,-0.782758566,-0.397518896,-0.002254971
346,SO0153,-1.146085314,1.784503538,1.162389608
347,SO0153,-0.666759867,0.013900894,0.088705999
348,SO0154,-0.022744955,-0.161661705,0.162963226
349,SO0154,-0.034296859,-0.043598161,-0.101150855
350,SO0156,-1.975195938,-0.564772793,-0.681830279
351,SO0156,-0.24109918,-0.12491942,-0.1024519
352,SO0157,-1.374014853,-0.913368594,-0.094359939
353,SO0157,-0.182658603,0.138950759,-0.025997942
354,SO0158,-0.176424038,0.230710245,0.180334304
355,SO0158,-0.662029583,0.162309751,0.113986306
356,SO0159,0.695231896,0.257152568,0.05562006
357,SO0159,-0.141556189,-0.103399532,-0.635407058
358,SO0160,0.160012006,0.455991967,-0.175285863
359,SO0160,0.079403801,-0.554972891,0.010541506
360,SO0160F,0.186607455,-0.031308345,0.037438589
361,SO0160F,-0.082108513,0.434604731,0.342337287
362,SO0162,-0.175982454,0.320856724,-0.031974528
363,SO0162,-0.263893642,0.285949282,-2.011222219
364,SO0162F,-0.151146878,0.126606685,0.589770116
365,SO0162F,-0.655198412,-0.086644368,0.043143605
366,SO0163,-0.182427579,0.123848052,0.24416082
367,SO0163,-1.42970927,0.064544544,0.244332108
368,SO0164,-1.174255336,-0.176752291,-0.049555709
369,SO0164,-0.137844943,0.282534673,0.1207858
370,SO0165,-0.903917027,-0.261434849,-0.132167165
371,SO0165,0.448288965,0.049884562,0.185061095
372,SO0166,0.175815309,0.374759867,-0.278822417
373,SO0166,-0.156846765,-0.230080901,0.080832602
374,SO0167,-0.023963697,1.699576489,0.145909951
375,SO0167,0.116652852,-0.05994771,0.218507639
376,SO0167F,0.7081278,0.203681837,1.548035301
377,SO0167F,0.72111783,1.08663478,0.428048407
378,SO0168,-0.512402156,0.050915525,-0.241387023
379,SO0168,-0.140432918,0.054204605,-0.563240542
380,SO0169,-0.704323133,-0.454543222,-0.252575432
381,SO0169,-0.482814665,-0.061340952,0.557336979
382,SO0170,0.030220168,0.264500564,-0.037078184
383,SO0170,0.700289894,1.675373877,1.752340156
384,SO0171,-1.316637866,-0.451429253,-0.300887788
385,SO0171,0.408626549,-0.028102286,0.786196085
386,SO0172,-0.826772313,0.098282564,0.482891699
