,GENE,GSM509291,GSM509293,GSM509649,GSM509650,GSM509651,GSM509652,GSM509685,GSM509686,GSM509687
28,IG_SO0061_SO0062_at,8.014578464922891,8.504223119912846,9.043300754364182,8.612499945739442,8.613605318063383,8.735048241290857,9.226171322091025,8.988400663729436,9.482001193087084
29,IG_SO0062_SO0061_at,8.168421410851925,8.184379486212944,9.263269200372662,9.37699356745245,9.61194694181998,9.453887917785664,8.14006285569821,8.215290305651234,8.58608916617544
30,IG_SO0065_SO0066_x_at,9.583082767502933,9.491051376364119,10.459431618637296,10.383920248621584,10.486231677981012,10.545736753493381,10.209697043535261,9.948221202429142,10.22773626325424
31,IG_SO0066_SO0065_x_at,6.312882955284356,5.116863757690899,7.3264294871223035,6.50303064564116,6.004501392234941,6.369815424283912,6.638073837180719,6.3110671022555955,6.469234793667656
32,IG_SO0083_SO0084_at,10.567195561406875,9.674721924288532,10.470252137367446,10.61765111942733,11.211401637418472,10.530698943334913,10.658925511492374,9.712355036074534,10.27111281670205
33,IG_SO0084_SO0083_x_at,8.603997170085494,7.424586226251101,9.950118429502576,9.969386521342283,9.718361626138355,9.860931769155533,10.582141981658777,9.11868157186106,10.13903966768306
34,IG_SO0085_SO0087_at,7.459431618637297,8.683696454306515,8.951284714966972,9.59618975614441,8.86758763491283,8.873444112515376,8.878357510336935,8.704941110376033,9.590587049915035
35,IG_SO0087_SO0085_at,8.374604819190937,8.060155495254604,8.814742667454482,8.982137968239922,8.278449458220482,8.995484518877507,8.061236165747747,8.328674927327947,8.955940451289479
36,IG_SO0087_SO0088_at,8.879889521780559,8.600284622898085,9.06204613772049,9.214319120800766,9.451829277252436,8.928666412304953,8.321026128592969,8.83162393682075,9.056095756038124
37,IG_SO0088_SO0087_x_at,8.381110294099054,9.383704292474052,9.658747037435006,9.343407822297815,9.350055177204501,9.729960561018016,10.108132366806768,9.607885089776785,9.551323748014763
38,IG_SO0090_SO0091_at,6.845490050944375,6.400879436282184,9.752380646552893,9.565482937665822,9.819540460505722,9.480386311104128,9.555931161242967,9.181649223815327,9.489045125114801
39,IG_SO0091_SO0090_at,9.306517445249819,7.884475819086485,10.581577215536518,10.349391818295938,10.671894841858554,10.840305863262254,8.841092544693431,9.407267764244732,10.150001092754328
40,IG_SO0093_SO0095_at,7.489446598622579,5.439623137557117,9.085339669357369,8.363696744838993,9.017086773362719,8.86573327085176,8.485829308701904,8.598796924863818,8.646018610925346
41,IG_SO0095_SO0093_at,7.520422248526446,5.399171093819823,5.872828759534886,5.7251958172266635,6.812498225333564,6.82273014794452,6.506208389306745,5.205548911173033,6.189824558880018
42,IG_SO0098_SO0101_at,8.76254814256653,7.996049727519757,9.200898605038445,9.491051376364119,9.805743872151618,9.755555261972145,9.357332064829428,8.122569192216446,9.116343961237469
43,IG_SO0101_SO0098_at,8.296916206879288,7.067165427017112,8.393175914348806,8.715275646264612,8.668175868970138,8.40173284952262,8.318316841334983,7.888743248898259,8.124638314178705
44,IG_SO0109_SO0110_at,6.857980995127572,6.883865154509794,0.8479969065549501,5.733354340613827,5.9954845188775066,6.5109619192773796,4.82781902461732,-2.321928094887362,4.872828759534886
45,IG_SO0110_SO0109_at,7.910492832288714,8.57742882803575,8.89178370321831,8.66746640495737,8.59916899321943,8.77544567410286,5.303780748177103,7.675251386050259,7.719046503929944
46,IG_SO0116_SO0118_x_at,8.333602628268281,7.9271853578263665,8.986695350243776,9.55727222306003,9.084542673641922,9.234098897837315,9.342519189660608,8.335836940378002,8.911391987843459
47,IG_SO0118_SO0116_x_at,8.630085070002124,8.654636028527968,9.908092340818271,9.265615046484458,9.678600139099458,9.612131300013433,9.655709595518514,8.579315937580015,9.265849421440848
48,IG_SO0118_SO0119_at,5.422905742612183,9.368942914404952,7.556889189726866,7.785288980704021,7.096978636370538,8.268191079219813,9.109830654278793,7.90388184573618,8.124638314178705
49,IG_SO0119_SO0118_at,1.4329594072761063,7.940754047474802,8.367196310025896,8.4241662888181,8.5630055530624,9.016808287686555,7.987548258953743,7.825276830054866,7.72451385311995
50,IG_SO0129_SO0130_at,1.9634741239748859,4.817623257511431,8.51175265376738,8.3151495622563,7.420381341196637,8.477758266443889,8.236492618381302,7.390598905552461,8.139551352398794
51,IG_SO0130_SO0129_at,7.9818526532897405,7.816343705284859,8.57591736111815,8.910492832288714,8.598424760527719,8.092757140919852,9.277519886641358,7.974988111991927,7.91707366287822
52,IG_SO0130_SO0131_x_at,9.215532999745657,4.614709844115208,10.06582000582393,9.831940560335877,9.98285100885192,9.98498801863518,10.15570370256316,9.210184275907636,9.293701542080735
53,IG_SO0131_SO0130_at,9.06339508128851,1.3219280948873624,9.58345891013077,10.112960711643034,10.141468555393084,9.938844457466171,10.274378153246364,9.806710717965235,9.17192735435346
54,IG_SO0134_SO0135_at,8.672425341971495,8.21334728173344,9.848309957449287,9.719731056749852,9.66622400280318,9.741635515697629,10.774951741416418,9.82543584852192,9.57061472176119
55,IG_SO0135_SO0134_at,5.9886846867721655,5.314696525656286,3.689299160535892,1.2016338611696504,-3.321928094887362,4.727920454563199,-1.0,5.339850002884624,1.3219280948873624
56,IG_SO0139_SO0141in_x_at,13.933035909341738,13.927268707509873,13.93107912415171,13.724897497595256,14.033491830765817,13.825455724597955,12.32822611878773,13.919207848208636,13.489120409908088
57,IG_SO0141in_SO0139_x_at,10.856347711260378,10.312769531404358,11.282045901421663,11.385484964678469,11.12605911607068,11.304237225017136,10.321702656174365,10.692266771927137,11.085273269861746
58,IG_SO0141in_SO0142_at,9.775281048662972,9.531186488552924,10.667555107041132,10.685537241739693,10.91819240698853,9.726899318476528,10.910642730469625,9.274261661257048,10.934870291192027
59,IG_SO0142_SO0141in_at,8.952158810747052,9.00842862207058,9.229780166733326,9.919012268320737,9.414685235807214,9.03232128705788,9.617467465294196,8.516881890821198,8.561478891501007
60,IG_SO0142_SO0144_at,6.321928094887363,6.640967910449898,8.609917445296311,7.877744249949002,7.441284271927038,7.7535510546006545,7.597680143715891,7.542258049766918,6.910492832288714
61,IG_SO0144_SO0142_at,9.083213368248982,9.488643539853785,9.033973543441055,8.990671283975267,8.270061672727762,9.130313145543456,10.174301544467632,8.936932336522394,8.066089190457772
62,IG_SO0145_SO0146_at,2.5109619192773796,9.043847540438906,9.154564982454229,9.49365533896366,9.12515513132229,9.03039125995948,8.520029304212185,8.633358550637105,8.174925682500678
63,IG_SO0146_SO0145_at,7.876516946564999,7.19377174339668,6.8189016758856384,7.816983623255381,1.6780719051126378,7.138527801422274,7.769507291436245,7.944272817611599,6.368069876532083
64,IG_SO0148_SO0150_x_at,9.798795783820449,10.779473140441741,9.291631182900902,9.166163082646113,9.143638309922036,9.252192340122386,9.022367813028454,10.236492618381302,9.842664621825003
65,IG_SO0150_SO0148_x_at,7.825912798784975,7.4212232992251375,7.99491908871511,8.087462841250339,8.211888294546004,7.938991438775543,7.943686951597095,7.727239777484807,7.943686951597095
66,IG_SO0154_SO0157_x_at,8.902977995832403,9.1357092861044,9.850186837645774,9.50898318485542,9.733693279894345,9.726558779104975,10.36872470446112,9.853933288677933,9.805582668169006
67,IG_SO0157_SO0154_x_at,6.656782364218995,7.83541884047548,8.937520951398323,8.911092331587135,8.677014856555722,8.78985964091365,9.195003027111333,7.435461914479276,8.055824700134858
68,IG_SO0157_SO0159_at,10.054468656195478,10.882872272947456,10.904107719761257,10.910717673719994,11.091303144237179,10.889123656294238,10.672778900370739,10.647728231967827,10.53323238117783
69,IG_SO0159_SO0157_at,8.60917873814198,7.608809242675524,9.987548258953744,9.877744249949002,10.051208940914766,9.963618617443972,8.802839440935111,8.703211467391146,9.050392859979898
