,GENE,GSM1040726,GSM1040727,GSM1040728,GSM1040729,GSM1040730,GSM1040731
53,SO0023,-0.725717664,-0.818691239,-0.68665389,-0.958728173,0.03243203,-0.946137084
54,SO0024,0.672557024,-0.108896385,0.606174247,0.264068626,1.235554493,0.532269913
55,SO0024,-0.64669385,-1.488455531,-0.801296283,-0.262841697,-0.898825458,-0.937312088
56,SO0024F,-0.85978276,-0.365132224,-0.306584898,-0.36243835,0.579798278,-0.667674063
57,SO0024F,-0.511907959,-0.978175551,-0.610228527,-1.018702803,-1.06210849,-0.80475068
58,SO0025,-1.246986088,-2.471630611,-1.51592151,-2.679073782,-1.431730968,-1.980033656
59,SO0025,0.276741192,0.017483742,0.129015073,-0.762307119,0.678290021,0.221071215
60,SO0026,0.303157869,0.027672188,-0.031729143,0.237336645,0.640735344,-0.27397464
61,SO0026,-0.536050069,-1.224604075,-0.773046989,-0.437750833,-1.66301682,-0.667171111
62,SO0027,-1.52121347,-2.451506438,-1.498950981,-1.751616075,-1.248756548,-1.597981541
63,SO0027,-1.461363245,-2.824945297,-1.847776081,-1.783027013,-1.330384903,-1.813832717
64,SO0028,-0.559373742,-0.426401987,-0.726247002,-0.746343983,3.764524303,0.272938724
65,SO0028,0.22841684,-0.219109665,0.195032767,0.406941881,1.262932239,0.996875454
66,SO0029,1.366003893,0.973300657,1.032314678,0.257051228,2.287763478,1.761100166
67,SO0029,2.942736603,2.511615037,3.015294042,1.952187224,3.160948832,3.353932719
68,SO0030,-3.094031123,-3.407495523,-3.359155811,-3.105761692,-3.894017996,-3.336033963
69,SO0030,-2.586073405,-2.74669834,-1.998933765,-2.676189907,-1.7656942,-1.947856735
70,SO0030F,0.779416722,0.669981578,-0.518932465,0.099008941,0.696901456,-0.434064012
71,SO0030F,2.081196921,1.925822223,1.814483654,1.370381841,2.733813587,2.291282774
72,SO0031,2.765690519,2.01266248,2.188489132,0.925898162,2.521561513,2.913338008
73,SO0031,-2.652055892,-2.482739293,-2.669800963,-2.979126041,-1.471441138,-2.672016051
74,SO0032,1.578594625,0.885928035,1.274311044,1.208834587,1.366907251,0.452471204
75,SO0032,-0.086824918,-0.246421181,-0.60713585,-0.652960031,0.46690528,0.139459331
76,SO0033,1.558060387,1.483240463,1.336752311,0.721554728,2.615951696,1.593110128
77,SO0033,0.536924218,-0.153872471,-0.429485979,-0.252093815,1.493110908,0.363655338
78,SO0034,-1.384427343,-1.432755139,-1.290064753,-0.924331296,0.027831823,-0.1096147
79,SO0034,-3.842505093,-3.737683772,-3.424484205,-3.239815241,-3.086178747,-2.781402378
80,SO0034F,-0.927892497,-0.304235266,-0.418865485,-0.481060621,5.891455015,5.377622746
81,SO0034F,-0.180090734,-0.515432466,-0.45699742,-0.537535397,-0.561831578,-0.799773218
82,SO0035,-1.828392552,-2.261390972,-1.418157512,-1.033527628,-0.665125865,-1.334572797
83,SO0035,-0.897125689,-1.418268857,-1.053144624,-0.598266927,0.567505042,0.165154597
84,SO0036,0.677782103,0.402031499,1.035286791,0.599736353,1.291668521,1.738626672
85,SO0036,0.054983449,-0.211555837,-0.030775109,0.492299681,1.0491218,0.894441787
86,SO0036F,2.587673214,1.95776232,1.937251459,1.801311431,1.725109144,2.724278405
87,SO0036F,-0.853833574,-0.934614404,-0.989790629,-0.420908271,0.612728649,-0.048426769
88,SO0036F,-0.557971976,-1.033738381,-1.358160108,-1.467553653,-1.501645743,-1.142582548
89,SO0036F,0.33900812,0.736300011,0.205918845,0.83829095,1.163236939,0.029887957
90,SO0037,-2.187018257,-2.088160168,-1.969478725,-2.402401042,-2.808037587,-2.579447897
91,SO0037,-2.339943696,-2.207910919,-2.196371215,-2.749213239,-2.480896597,-2.385435379
92,SO0038,0.678994109,0.474614517,0.226270434,-0.378707108,-1.219711317,0.593843537
93,SO0038,0.232300424,-0.359999306,0.461901943,-0.318463401,0.02361641,0.233111189
94,SO0039,-1.26165696,-1.642871803,-0.735241121,-1.496940546,-0.974253216,-1.132606102
95,SO0039,-0.86752353,-0.482690095,-0.315967295,-0.602190512,2.116938057,1.468236914
96,SO0040,-0.813829807,-2.081852172,-1.13742556,-0.014986214,-0.765058129,-0.610898504
97,SO0040,0.738449837,-0.064522933,0.560946624,0.107035794,0.370216899,1.349127353
98,SO0041,1.326293541,0.488251043,1.005019852,1.276409084,2.369059344,2.297831937
